8341354
/m/02701c1
/m/02701c1
Sergey Lukyanenko

{"/m/01hmnh": "Fantasy", "/m/03npn": "Horror"}
a 19
about 2
absorb 1
activate 2
activates 1
affiliation 2
after 1
again 2
alice 1
all 15
allows 1
also 3
amulets 2
an 4
ancient 1
and 21
anton 25
any 1
apartment 1
apparently 3
appears 2
archives 1
are 6
arina 2
artifact 2
as 10
asked 1
assign 1
assist 1
at 2
attack 1
attacked 3
attraction 1
back 5
barrier 1
barriers 1
be 3
because 3
been 1
before 1
begin 1
behind 1
between 1
blame 1
bomb 2
book 1
both 1
bothered 1
bring 1
building 1
bullets 1
busy 1
but 4
by 4
call 1
can 5
cannot 2
cant 2
capable 1
care 1
castle 2
cause 1
certainly 1
change 1
chooses 1
circle 1
clues 1
contemporary 1
controlled 1
copy 1
could 1
created 1
crown 8
crownand 1
cub 1
dark 3
daughter 2
dead 2
death 2
demons 1
departed 2
destroy 1
destroying 1
destruction 1
did 1
didnt 1
die 3
dividing 1
does 4
doesnt 2
due 1
edgar 6
edinburgh 3
effect 1
encounter 1
end 2
enemy 1
energy 1
enough 1
episodes 1
equipped 1
even 1
everything 1
evidence 1
exist 1
explosive 1
far 1
father 2
fifth 1
fighting 1
figure 2
figures 1
final 6
finally 1
find 2
first 1
fiveyearold 1
follow 1
for 3
forbids 1
foreseen 1
forever 1
forgive 1
former 1
forward 2
found 1
friend 4
friends 1
from 1
fully 1
gennady 4
gesar 3
get 6
gets 1
give 1
go 3
goes 2
gorodetsky 1
got 1
grave 1
greater 1
guardian 1
guns 1
happenings 1
has 3
have 1
he 16
head 1
help 1
her 6
hid 1
hidden 3
him 5
hint 1
his 8
hoping 1
however 2
humans 2
identify 1
igor 1
imitation 1
in 22
incapitated 1
including 2
indeed 1
individual 1
information 1
initiated 1
innocents 1
inquisition 1
inquisitor 2
interpretation 1
interpreted 1
into 3
investigation 1
is 28
it 10
its 1
join 1
just 3
kidnap 1
kill 1
killed 2
killing 1
know 2
knows 2
kostya 3
last 1
late 1
later 1
learning 1
learns 1
lermont 1
level 9
levels 3
lie 1
life 2
light 4
like 1
live 2
look 1
lost 1
loved 1
magical 3
man 1
managed 1
manages 2
many 1
matter 1
may 1
maybe 1
meet 1
meets 1
merlin 11
might 2
moscow 1
most 2
murder 1
murdered 1
mysterious 3
mystery 1
nadya 5
near 1
new 3
night 4
no 1
nobody 1
nor 1
not 7
nuclear 3
of 27
off 1
on 1
once 2
one 3
ones 1
onetime 1
only 4
open 1
operatives 1
or 2
ordinary 1
other 7
others 11
out 4
pale 1
paradise 2
part 1
peace 1
people 1
perpetrators 1
place 1
plain 1
planting 1
point 2
possible 1
power 3
powers 1
practically 1
problem 1
produce 1
protect 1
put 1
real 1
reality 1
reborn 1
remote 1
resurrection 1
reunite 1
reveals 2
russian 1
rustam 3
sabotaged 1
saushkin 2
saying 1
says 1
scottish 2
secret 2
seemed 1
sends 2
sent 1
series 1
seventh 6
she 5
shows 1
sixth 2
so 4
some 1
someone 3
something 1
son 1
spell 3
spoken 1
stole 1
stones 1
storage 1
strip 1
stuck 1
svetlana 2
take 2
takes 1
tell 1
tells 3
temporary 1
than 1
that 13
the 80
their 2
them 6
themselves 1
then 1
there 5
therefore 1
these 1
they 19
thing 2
things 6
think 1
third 1
this 5
thomas 3
though 1
three 1
through 1
tiger 1
time 1
to 37
together 1
too 1
tourist 1
trapped 1
traveling 1
tries 1
trio 3
trying 1
twilight 15
twilightdestroying 1
unlimited 1
up 1
upon 1
use 2
using 1
uzbekistan 2
vampire 2
vanish 1
various 1
very 1
visiting 1
want 3
wants 2
was 4
watch 10
watches 1
way 1
we 1
weapon 1
weapons 1
well 2
what 2
when 2
where 5
which 2
while 1
who 6
wife 2
will 6
witch 1
with 4
words 1
world 4
worried 1
wrong 1
you 2
young 1
zerolevel 3
