17865380
/m/047dhl5
/m/047dhl5
Gordon Korman

{"/m/0lsxr": "Crime Fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
120 1
200 1
74000 1
a 21
about 3
accidentally 1
actortobe 1
actually 1
affair 1
after 4
agrees 1
alarm 1
all 2
almost 1
also 2
although 1
an 6
and 27
animal 1
ankle 1
another 2
any 2
are 2
around 1
arrested 1
as 4
ask 1
asked 1
asleep 1
automatically 1
avoid 1
b 1
babe 2
back 1
baseball 1
bates 1
bathroom 1
be 1
before 1
beginning 1
begins 1
behind 1
believe 1
ben 10
best 2
birthday 1
blackmails 1
book 1
box 1
boy 1
boys 1
break 6
bush 1
but 2
buy 1
by 4
call 1
calm 1
can 4
card 17
care 2
carries 1
caught 1
caused 1
cedarville 1
charges 1
cheated 1
claimed 1
climb 2
climber 1
climbing 1
closes 1
code 2
cold 1
collectible 1
come 1
coming 1
crate 1
dad 2
dads 1
darren 6
deal 1
decides 1
demolished 1
demolition 1
details 1
detective 1
did 1
disappeared 1
discover 1
do 1
doesnt 1
dog 2
doing 1
donate 1
down 1
drawer 1
due 1
dufferin 2
earlier 1
end 1
ends 1
entire 2
ever 1
everyone 1
expensive 1
failure 1
faking 1
falls 1
family 4
fence 1
financial 1
financially 1
find 3
finds 2
for 7
four 1
freezer 1
friend 2
from 4
fruit 1
game 1
get 8
gets 2
getting 2
give 2
gives 1
go 1
goes 1
going 2
gone 1
gordon 1
got 1
grabs 1
graders 1
griffin 17
griffins 2
grip 1
guard 2
had 3
happen 1
harnesses 1
has 2
have 7
he 8
hears 2
heist 4
help 2
her 3
him 7
himself 1
his 8
hockey 1
home 1
house 7
how 1
however 2
idea 1
if 1
in 17
inside 3
interview 1
into 4
invention 2
investigation 1
is 8
isnt 1
it 11
join 1
knowing 1
korman 1
large 1
last 1
later 1
leave 1
left 1
letting 1
lie 1
likes 1
logan 1
look 1
loses 1
loved 1
lover 1
luckily 1
machine 1
made 1
mail 1
make 4
making 1
man 2
manage 2
many 1
melissa 1
member 1
millions 1
money 3
more 2
most 1
move 2
moved 1
movie 1
much 1
museum 1
named 1
need 4
neighbor 1
neighborhood 1
new 1
nicknamed 1
night 1
no 1
not 4
of 10
old 2
on 4
one 2
only 2
open 1
original 1
out 6
outside 1
owned 1
palomino 5
palominos 1
parents 2
patented 1
pawn 1
picks 1
pitch 3
plan 8
police 1
press 1
priced 1
problem 1
problems 1
proceed 1
public 1
punches 1
ran 1
rangers 1
real 1
reasonably 1
recording 1
recruit 1
related 1
relative 1
remembers 2
replica 1
reporter 1
retrieve 1
risk 1
rockford 3
rockfords 1
ruin 1
run 2
running 1
runs 1
ruth 2
s 1
safe 3
said 1
savannah 1
scheduled 1
schooled 1
second 1
securely 1
security 2
sell 2
sets 1
shock 1
shop 4
since 1
six 1
sixth 1
skylight 1
sleep 1
sleepover 1
slovak 1
smartpick 3
snooping 1
so 8
some 1
something 1
sprains 1
start 1
steal 1
stealer 1
store 3
suddenly 1
surviving 1
suspicious 1
swindle 5
system 2
take 3
takes 1
talk 1
team 1
tells 1
that 7
the 69
their 2
them 3
then 4
there 2
they 24
thinking 1
though 1
through 1
ticket 1
to 43
tom 1
total 1
tree 1
tricks 1
tries 2
trouble 1
two 1
unfortunately 1
until 1
up 2
using 1
vader 1
video 1
vizzini 1
want 1
was 3
well 1
wendell 1
when 3
where 1
who 1
why 1
winifred 1
with 2
wondering 1
wont 1
works 1
would 2
york 1
youngest 1
