7091846
/m/0h3r9n
/m/0h3r9n
Brendan DuBois

13 1
162 3
172 1
a 13
abroad 1
abruptly 1
accounts 1
achieve 1
across 1
actually 1
administration 1
advised 1
affairs 1
after 5
aftermath 2
against 1
aid 1
aiding 1
air 3
all 1
allies 1
ally 1
almost 1
alone 1
also 4
although 1
america 2
american 1
americans 1
an 3
and 23
angloamerican 1
anschluss 1
are 6
arsenal 1
as 7
asia 1
assists 1
at 2
atomic 2
attacks 1
attempts 3
bases 1
because 1
become 1
been 3
begins 1
believed 1
between 2
book 1
boston 1
britain 1
british 5
broke 1
bundy 1
buried 1
butchers 1
by 5
called 1
canadian 1
capital 1
carl 2
chief 1
china 1
chronicles 1
cities 1
civil 1
civilian 1
claims 1
clear 1
cloud 1
collapse 1
collapsed 2
colonial 1
commanders 1
commenced 1
concerns 1
confidence 1
conflict 1
consequence 2
contention 1
continent 1
contrast 1
countries 1
course 1
covers 1
created 1
criminals 2
crisis 3
cuba 2
cuban 3
curtailed 1
curtis 2
dc 2
deal 1
decolonialisation 1
deliberately 1
dependence 1
destroyed 1
destruction 2
devastated 1
diego 1
discover 2
discovers 1
during 1
each 1
effectively 1
efforts 2
elements 1
emasculation 1
embroilment 1
empire 1
end 2
escalating 1
europe 1
even 2
events 1
excessive 1
eyes 1
f 1
fallout 1
first 1
followed 1
for 2
force 2
fort 1
france 1
from 2
further 1
general 1
generally 1
generals 1
germany 1
globe 2
government 1
governments 1
gradually 1
halted 1
happened 1
hardest 1
has 5
have 3
his 1
hit 1
hostilities 1
imprisoned 1
in 20
incompetence 1
indeed 1
independent 1
into 1
investigations 1
involves 1
is 13
island 1
it 2
its 2
jfk 1
john 1
journalist 1
kennedy 3
khrushchev 1
killing 1
landry 4
largely 1
last 2
law 1
leading 1
leavenworth 1
led 1
left 2
maintain 1
makes 1
managed 1
many 1
martial 1
massive 1
mcgeorge 1
member 1
members 1
miami 1
military 6
millions 1
minute 2
missile 2
motives 1
much 3
nation 1
nations 1
nato 1
near 1
nearly 1
new 2
newly 1
nikita 1
nominally 1
not 1
notably 1
novel 3
now 1
nuclear 6
numerous 1
october 1
of 32
off 1
office 1
officials 1
omaha 1
on 2
one 1
only 1
or 2
order 1
other 3
out 1
over 4
pact 1
parallel 1
pariah 1
people 1
period 1
personnel 2
philadelphia 1
plan 1
plotline 1
plotlines 1
plotting 1
policy 1
population 1
portrayed 1
possess 1
possession 1
postwar 1
pre 1
presence 1
preside 1
president 1
prevent 1
price 1
principally 1
propaganda 1
recklessness 1
reconstruction 1
regain 1
regard 1
regarded 1
regional 1
relations 1
release 1
relief 1
remaining 2
remains 1
rendered 1
renounced 1
reporter 1
republic 1
resentment 1
responsible 1
retains 1
returning 1
reversed 1
ruin 1
running 1
sabotaged 1
same 1
san 1
sandra 1
saviours 1
second 1
security 1
senior 1
sense 1
servicemen 1
services 1
set 1
some 2
soon 1
sought 1
source 1
south 1
soviet 5
spain 1
stabilise 1
states 5
story 3
strikes 3
surrounding 1
survived 1
surviving 1
takeover 1
ten 1
text 1
that 6
the 78
their 1
there 1
these 1
this 1
those 2
time 1
to 12
travel 1
truth 1
two 1
uk 2
ulterior 1
uncertain 1
uncover 1
under 2
uninhabitable 1
union 3
united 5
unravels 1
unscathed 1
up 1
us 8
usa 6
usaf 1
ussr 3
utterly 1
vacuum 1
vietnam 2
waging 1
war 12
warlords 1
warsaw 1
was 1
washington 2
way 1
weapons 1
welcome 1
were 1
what 2
whether 1
which 1
while 2
who 2
with 4
withdrawn 1
within 1
wondering 1
world 4
would 1
years 1
york 1
