7337595
/m/025zlt1
/m/025zlt1
Ann M. Martin
1988
{"/m/0dwly": "Children's literature"}
a 4
able 1
about 1
add 1
adopt 1
advanced 1
american 1
an 3
and 8
angered 1
anxieties 1
arises 1
around 1
as 3
at 1
attention 1
baby 1
back 1
basini 1
be 2
because 1
become 1
becomes 2
bee 1
beginning 1
begins 2
being 1
boy 1
brother 1
by 1
can 1
challenge 1
class 2
come 1
culture 1
decide 1
devoted 1
difficult 1
disability 1
disappointing 1
displeasure 1
do 1
does 1
during 1
dyslexic 1
eager 1
educate 1
effort 1
ends 2
english 1
especially 1
example 1
excels 1
excited 1
extra 1
fact 1
fast 1
fears 2
feel 1
feelings 1
focused 1
for 2
forces 1
fourth 1
friends 1
from 3
gifted 1
grade 2
happy 1
having 1
held 1
help 3
her 15
hide 1
horses 1
how 1
if 1
in 8
inferiority 1
inner 1
instead 1
intellectually 1
is 8
jackie 6
jealous 1
learn 2
longer 2
makes 1
making 1
mildly 1
mix 1
moves 1
much 1
need 1
new 1
no 2
not 1
of 5
older 2
one 1
own 3
parents 3
performance 1
poor 1
possibility 1
pressure 1
probably 1
prospect 1
reading 1
regular 1
relationship 1
required 1
resource 1
results 1
role 1
room 1
scholastic 1
school 5
she 7
shirley 11
since 1
sister 4
sisters 1
situation 1
slightly 1
someone 1
soon 1
speak 1
spell 1
spelling 1
spells 1
stops 1
strengths 1
strict 1
struggles 1
struggling 1
succeed 1
teach 1
teacher 1
terms 1
that 3
the 11
their 1
they 1
third 1
this 1
threatened 1
title 1
to 15
truly 1
turly 1
two 1
understand 1
unexpected 1
up 3
upon 1
vietnamese 1
way 1
well 1
when 4
which 1
while 1
why 1
will 3
with 4
words 1
year 1
younger 2
