14610505
/m/074k1x
/m/074k1x
Eoin Colfer
2006-08-02
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
10000 1
101 1
21st 1
4 1
40th 1
7 1
8 1
84701 21
a 26
abbot 11
able 2
about 3
access 1
accountable 1
accuse 1
activity 1
advantage 1
after 2
again 2
against 2
all 3
allows 1
almost 1
already 2
also 3
an 2
anchoring 1
and 35
ankle 1
another 2
apex 1
appearance 2
appeared 1
apprentice 2
are 1
ark 1
arm 1
arms 1
around 1
arrested 1
arrive 1
art 1
artemis 28
as 4
ask 1
asks 1
at 6
available 1
avenge 1
back 3
barcelona 2
be 3
beard 1
beautiful 1
because 1
been 5
beings 2
bellini 1
between 1
big 1
billy 1
blond 1
bodyguard 1
bomb 3
book 1
bracelet 3
break 1
bring 1
brings 1
brother 2
brothers 1
building 2
bullet 3
bullied 1
business 1
but 4
butler 11
by 5
cannot 1
care 1
carry 1
cell 1
century 1
changed 1
circle 1
claims 1
coated 1
coming 1
commander 1
companions 1
comply 1
concludes 1
consciousness 2
consequent 1
continued 1
contribute 1
corner 1
could 1
creating 1
crowns 1
crutch 1
culture 1
curator 1
cut 1
dancing 1
dark 1
dart 1
day 1
deal 1
deceased 1
deck 1
demands 1
dematerialise 1
dematerialises 1
demon 12
demons 4
demonstrates 1
destroys 1
development 1
devise 1
died 3
dies 1
diggums 1
dimension 3
disguised 1
disintegration 1
distracts 1
do 1
does 1
doodah 1
door 4
down 1
drags 1
drooping 1
drop 1
drops 1
eight 1
elevator 1
encounter 1
encountered 1
encounters 1
energy 1
enough 4
escape 1
even 1
eventually 1
exception 1
exhibition 1
expand 1
experience 1
extensively 1
eye 1
eyes 1
fact 1
failing 1
fails 1
fall 1
feigned 1
figures 2
fired 1
firm 1
first 1
five 2
flies 1
floor 1
foaly 1
following 1
for 7
formed 1
former 1
four 1
fowl 2
from 4
frozen 1
future 1
gallery 2
gang 1
gets 2
girl 1
go 2
grabs 1
grant 1
grenade 1
ground 1
group 2
grown 1
guided 1
had 7
hand 1
handcuffed 1
handgun 1
has 16
have 3
having 1
he 21
head 1
helmet 1
help 1
henchmen 1
her 5
here 1
him 7
himself 2
hinges 1
his 9
hitting 1
holding 2
holds 1
holly 22
home 1
hostage 1
house 1
how 1
however 3
human 1
hybras 4
identified 1
if 1
ii 1
immediately 2
imp 1
in 19
inaccurate 1
included 1
increased 1
informs 1
inside 1
instantly 1
instructed 1
interrupted 1
into 4
irregularity 1
is 25
island 1
it 5
its 1
jonah 1
keeps 1
kicks 1
kimsichiog 1
king 1
knew 1
knock 1
knocks 2
knowledge 1
known 1
knows 1
knuckle 1
kong 10
land 1
large 1
leader 1
learns 1
least 1
leave 1
leaves 1
lee 1
leg 1
legs 1
leon 2
life 1
like 1
limbo 2
living 1
lock 1
lost 1
magic 9
magical 2
main 1
makes 1
manages 4
massimo 1
materialisation 1
materialises 2
mature 1
meanwhile 1
meet 1
men 1
mesmer 2
mesmerised 1
mesmerises 1
minerva 11
missing 1
mm 1
moment 1
monitors 1
more 2
mulch 2
near 1
necessary 1
neutrino 1
next 2
no 1
nonexistent 1
not 7
nothing 1
notices 1
notified 1
now 3
observation 1
obtain 1
of 18
off 3
old 1
on 6
once 1
one 4
only 2
onto 1
open 2
opened 1
opera 1
organisation 1
original 1
out 4
over 2
paradizo 1
party 2
pendulum 2
pi 2
pixie 1
place 1
plan 2
plans 1
possible 1
predict 1
predicted 1
present 1
pride 1
proof 1
provide 1
pull 1
puts 1
quite 1
qwan 8
qweffor 4
reach 1
really 1
reasons 1
recently 1
recruiting 1
release 1
remove 1
removed 1
renovation 1
residence 1
return 1
revealing 1
reveals 2
reverse 2
rifle 1
rips 1
room 1
sauer 1
sculpture 1
secret 1
section 2
see 1
sees 1
semisuccessful 1
sent 1
she 3
shields 1
shock 1
shoot 1
shoots 1
short 1
shot 1
shut 1
side 1
sig 1
silver 7
skewer 1
slightly 1
snapped 1
so 2
some 3
something 2
sool 1
spain 1
spark 1
spell 5
stage 1
standing 1
start 1
states 2
steps 1
stole 3
stone 2
story 1
strap 1
strikes 1
sufficient 1
supposedly 1
survived 1
suspects 1
suspended 1
suspiciously 1
switched 1
taipei 1
taiwan 1
taken 2
takes 3
talks 1
tells 2
that 19
the 62
their 2
them 3
then 3
there 3
they 12
think 1
thinking 1
this 6
though 2
three 2
through 2
throws 1
time 9
timespell 1
to 36
took 3
touched 1
trade 1
tranquillizer 1
try 1
tunnel 3
turning 1
twin 1
twins 1
two 2
unable 1
unconscious 2
unconsciousness 1
under 2
unfortunately 1
unknown 1
until 1
up 1
urge 1
use 2
uses 1
using 2
very 1
vinyya 1
visited 1
volcano 1
wait 1
warlock 1
warlocks 1
warnings 1
warped 1
was 5
were 1
what 1
when 9
where 3
which 9
who 7
will 4
wing 1
wings 2
with 16
woman 1
wonders 1
wooden 1
worker 2
working 1
world 1
worn 1
would 1
wrist 1
year 1
years 1
yet 1
young 1
