672704
/m/031ptv
/m/031ptv
Jack Higgins
1975-09-08
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
a 33
abandon 1
about 1
abused 1
abwehr 2
accept 1
actions 1
additional 1
admiral 2
afrikaner 1
after 1
against 2
aged 1
agent 1
aid 1
air 1
airfield 1
alderney 1
alerts 1
alive 1
all 1
alleged 1
allied 2
allowed 1
allows 1
ally 1
along 1
already 1
although 3
americans 1
an 10
and 25
angloboer 1
any 2
are 2
army 3
arranges 3
arrest 1
as 9
assault 1
at 7
attack 2
attacks 1
attempt 1
author 1
awaiting 1
backed 1
backstory 1
be 6
because 1
become 1
becomes 1
been 1
being 2
belfast 1
benito 1
book 1
bringing 1
british 4
but 4
by 12
c47 1
canaris 5
capture 1
captured 1
capturing 1
carry 1
certain 1
channel 2
characters 1
churchill 7
coast 2
code 1
colonel 4
comes 1
commander 1
commandos 2
concealed 1
considered 1
constable 2
contacts 1
continue 1
country 1
courtmartialled 1
dakota 1
decides 1
decorated 1
describing 1
despite 1
detailed 1
determined 2
detests 1
developments 1
devises 1
devlin 5
discovering 1
discovery 1
discredit 1
disgraced 1
disturbing 1
document 1
doing 1
dropped 1
during 1
eagle 1
eastern 1
eboat 1
editions 1
effort 1
england 1
english 3
epilogue 1
equipment 1
escape 4
escapes 1
estate 1
even 1
executed 1
face 1
failed 1
fallschirmjger 1
false 1
familiarise 1
fatal 1
father 3
fearing 1
feasibility 1
feeling 1
fell 1
few 1
final 1
finds 1
finish 1
firing 1
first 1
flown 1
follows 1
foolhardy 1
for 7
forced 1
forces 1
forget 1
frame 1
free 1
freight 1
from 3
front 1
further 1
game 1
general 1
german 4
germany 2
gestapo 1
girl 3
gloryseeking 1
go 1
grange 1
grave 1
graveyard 1
grey 3
had 5
has 6
have 2
he 7
head 3
headquarters 1
heart 1
helped 1
her 1
hesitates 1
higgins 2
high 1
highly 1
highrisk 1
him 7
himmler 6
his 11
historical 2
hitch 1
hitler 3
holland 1
hostage 1
hostages 1
hotel 1
house 1
however 3
idea 1
if 1
ill 1
impersonator 1
implied 1
impossible 1
in 14
incentive 1
including 1
inexperienced 1
infiltrate 1
information 1
inspired 1
intelligence 2
intercept 1
intervened 1
into 2
involved 2
ireland 1
irish 1
irishman 1
is 12
islands 1
it 3
its 1
jewess 1
jews 1
joanna 1
just 1
kane 1
killed 3
kurt 1
last 1
learned 1
led 1
liam 2
lieutenant 1
life 1
lives 1
local 2
locals 1
longtime 1
major 1
make 4
makes 1
manage 1
manned 1
many 2
markings 1
matter 1
mattered 1
may 1
meanwhile 1
meeting 1
meets 1
member 1
men 5
military 1
mill 1
minister 1
mission 5
molly 2
more 1
mrs 2
mussolini 1
named 1
ncos 1
near 1
nearby 2
neumann 2
norfolk 4
north 1
northern 1
not 2
notifying 2
novels 1
oberst 1
of 31
off 1
officer 1
officers 1
older 1
on 3
one 5
opens 1
operation 1
order 1
ordered 1
orders 5
organizes 1
other 2
others 1
otto 1
out 1
outfit 1
outrage 1
paperback 1
paratroopers 1
passing 1
penal 1
piece 1
place 1
plan 4
poland 1
polish 2
polizei 1
posing 1
position 1
possibilities 1
priest 1
prime 1
prior 2
proceed 1
prologue 1
protection 1
provided 1
race 1
radl 12
railway 1
rallies 1
rangers 1
raped 1
reaching 1
real 2
realizes 1
reappears 1
rears 1
recruits 1
reich 1
relaxing 1
relocates 1
rendezvous 1
reports 1
republican 1
rescue 1
rescues 1
research 1
resistance 1
response 1
result 1
retake 1
return 1
returning 1
revelation 1
ritter 1
robert 1
romantically 2
rounded 1
rounding 1
said 1
same 1
scheduled 1
scheme 1
second 1
secondincommand 1
seemingly 1
seems 1
seen 1
selects 1
sequel 1
serves 1
several 1
shafto 1
she 2
ships 1
shot 2
similar 1
sister 1
skorzeny 1
smuggled 1
soldiers 2
some 1
soon 1
speak 1
spend 1
spies 2
squad 1
ss 2
staff 1
starling 1
station 1
steiner 12
story 2
strong 1
studley 3
study 2
succeeded 1
succeeds 1
successful 1
summons 1
support 1
supposedly 2
surrounded 1
surviving 2
synchronicity 1
tantalizing 1
task 1
team 2
technique 1
teenage 1
terminally 1
than 1
that 4
the 54
their 3
them 1
themselves 2
then 2
there 3
they 3
thirteen 1
this 4
ties 1
time 3
to 33
too 1
took 1
torpedoes 1
tortured 1
train 1
transfer 1
travels 1
treason 1
troops 1
try 1
under 1
undertake 1
uniform 1
uniforms 1
unit 2
unteroffizier 1
up 2
upon 1
us 1
use 1
useless 1
using 1
various 1
vereker 2
veteran 1
via 1
village 2
villagers 1
von 1
war 1
warden 1
was 3
waste 1
water 1
way 1
weapons 1
weekend 1
were 2
western 1
what 1
wheel 1
when 1
which 1
while 2
whilst 1
who 4
wilhelm 1
will 4
winston 2
with 13
without 4
woman 1
worn 1
would 2
wounded 1
young 1
