5299865
/m/0ddb6y
/m/0ddb6y
Barbara Mertz
1998
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
106107 1
a 1
acquire 1
after 1
again 1
allowed 1
already 1
also 1
amelia 3
an 1
and 7
annoy 1
another 2
are 1
arriving 1
attempt 2
be 1
before 1
behind 1
but 5
by 1
children 2
clan 1
clean 1
david 1
davis 3
debrisfilled 1
determine 1
dig 1
distraction 1
does 1
during 1
early 1
egypt 1
emerson 4
emersons 1
emersonsparticularly 1
empty 1
encounter 1
england 1
entire 1
even 2
everyone 1
everyones 1
excavated 1
excavates 1
falls 1
find 1
foil 1
for 1
from 1
full 1
granted 1
has 2
he 2
help 2
his 1
in 3
initially 1
invective 1
is 7
it 1
kidnap 1
kings 1
kv3 1
kv4 1
kv5 1
leave 1
luxor 1
m 2
magnificent 1
managed 1
maspero 1
much 1
near 1
nefret 1
nefrets 1
next 1
not 4
now 1
of 4
on 2
once 1
only 1
or 1
papyrus 1
perhaps 1
permission 1
point 1
possibly 1
quarters 1
ramses 1
rich 1
right 1
rights 1
rival 1
rivals 1
season 1
seems 1
sethos 3
since 1
so 1
somebody 1
stalked 1
still 2
sure 1
surprise 1
surprising 2
suspicion 1
targets 1
the 12
their 1
theodore 1
they 2
this 1
thought 1
three 1
to 11
tomb 2
tombs 1
too 1
trying 1
twenties 1
up 1
upcoming 1
upon 1
valley 2
way 1
where 2
with 1
yet 1
