668585
/m/031b9r
/m/031b9r
Aaron Allston

a 12
able 1
actions 1
after 1
against 2
allows 1
an 1
and 8
another 1
antilles 2
arm 1
arrive 1
artificial 1
as 3
assistant 1
at 2
attracts 1
be 1
become 2
becomes 2
before 1
begin 2
bidding 1
borleias 5
calrissian 1
capital 1
capture 2
civilian 1
commander 1
conditioning 1
consisting 1
consortium 1
conspiracy 1
controlling 1
convenient 1
coruscant 5
costs 1
councilor 1
czulkang 1
dark 2
develop 1
do 2
durron 1
elgrin 1
eliminate 1
empire 1
end 1
enemy 1
engagement 2
even 1
evidence 1
executed 1
expertise 1
father 1
fel 1
fighting 2
find 2
finds 1
fleet 1
following 1
for 2
force 2
forces 1
forming 1
from 3
galactic 1
gather 1
general 1
go 1
gone 1
grafted 1
group 1
had 1
hapes 1
has 1
he 2
help 2
helping 1
her 2
herself 1
him 3
himself 1
his 3
hold 1
holocam 1
however 1
implant 1
in 7
incorporates 1
increases 1
indeed 1
infiltrate 1
innocent 1
intend 1
intentionally 1
into 3
invasion 1
is 6
it 3
jag 1
jagged 1
jaina 2
just 1
kyp 1
lah 4
lando 1
later 1
launch 1
leadership 1
leading 1
lie 1
life 1
live 1
looks 1
luke 1
makes 1
mara 1
master 1
meanwhile 2
mission 1
named 1
nearly 1
nen 1
new 5
nothing 1
novel 1
occupation 2
of 12
on 3
oncegreat 1
one 1
operator 1
or 1
order 2
organizes 1
overcome 1
part 1
presence 2
purpose 1
pwoe 1
relationship 1
republic 5
resources 1
result 1
retreat 1
romantic 1
rot 1
says 1
scheduled 1
secretly 1
senator 1
senators 1
senses 1
set 1
shamed 1
shaper 1
shapers 1
she 1
shesh 3
since 1
skywalker 1
so 1
solar 1
solo 1
soon 1
squadron 1
strike 1
strong 1
successfully 2
such 1
supreme 1
system 2
tactic 1
tactical 1
tahiri 1
tam 2
team 1
temporary 1
that 6
the 25
their 5
themselves 1
then 1
there 2
they 2
this 4
time 1
to 14
together 1
took 1
treacherous 1
tsavong 2
two 1
under 1
unofficial 1
up 2
usefulness 1
veila 1
via 1
viqi 2
vong 7
vongheld 2
warmaster 1
wedge 2
when 2
who 1
wife 1
with 3
within 1
working 1
world 1
would 1
wraith 1
yim 1
yuuzhan 3
