12948149
/m/02z112f
/m/02z112f
Michael Connelly
1994-06-01
48 1
a 29
adult 3
advertise 1
advice 1
affairs 1
agent 1
agrees 1
alibi 1
all 3
along 1
also 3
amount 2
an 2
and 26
angeles 1
another 1
answer 1
apart 1
appear 1
are 1
arrests 1
arrive 1
arrives 2
article 2
as 12
asks 1
aspects 1
assumes 1
at 4
attempts 1
attorney 4
attributed 1
awards 1
back 1
bathroom 1
be 2
been 5
beer 1
beers 1
before 1
being 1
believes 1
bite 2
blonde 3
blondes 1
blood 1
bodies 1
body 2
bosch 28
breaks 2
bremmer 15
burn 1
but 5
by 2
can 2
case 2
cast 1
chandler 5
charge 1
child 1
children 1
church 7
cleared 1
come 1
company 1
compensatory 1
concrete 2
confess 1
confronts 1
control 1
court 2
cowboy 1
crime 2
crimes 1
cross 1
customer 1
damages 2
dangerous 1
day 2
days 1
dead 1
deal 2
decide 1
degree 1
deliberations 1
detective 2
determine 1
device 1
did 1
different 1
discover 1
discovery 1
discuss 1
dismiss 1
district 1
division 1
does 3
dollar 2
dollmaker 6
door 1
drink 1
during 2
edgar 1
eleven 1
elite 1
empty 2
encased 1
entertainment 1
envelope 1
estate 1
eventually 1
evidence 2
except 1
exchange 1
false 1
fights 1
filing 1
finally 1
find 2
finds 4
first 1
fit 1
follow 1
follower 7
follows 1
for 9
force 4
forces 1
found 3
four 1
from 7
garage 1
gets 3
getting 1
girlfriend 1
goes 1
got 1
grabs 1
gun 2
had 12
hair 2
harry 2
has 5
have 2
having 1
he 18
head 1
her 8
hers 1
hidden 3
highclass 1
him 10
himself 1
his 19
hits 1
hollywood 1
home 1
honey 1
hotel 1
hours 1
house 10
identifies 1
if 2
ignored 1
improvements 1
in 12
including 1
industry 2
information 2
insider 1
instead 1
internal 1
interrogate 1
into 1
investigated 1
is 14
it 2
job 1
jury 2
kill 1
killed 1
killer 1
killing 1
killings 3
knowledge 1
large 1
largebreasted 1
later 1
leading 1
leads 1
led 1
life 1
live 1
local 2
locke 3
locker 2
looking 1
los 1
magazine 1
mailed 2
make 1
makes 2
makeup 3
making 1
manner 1
marks 2
match 2
means 1
members 1
mentioned 1
missing 1
modus 1
molds 1
mora 9
mother 1
move 1
movies 2
murder 2
must 1
naked 1
name 2
new 1
next 2
nine 1
norman 2
not 8
note 4
noticed 1
obtain 2
of 22
off 2
office 2
on 6
one 2
operandi 1
original 3
other 4
out 1
over 1
owns 1
paint 1
painted 1
parole 1
pattern 1
phone 1
pillow 1
plaintiff 1
playing 1
police 9
pornographic 1
portrays 1
pride 1
procedure 1
professor 1
prostitute 1
prostitutes 1
protect 1
provides 1
pubic 1
published 1
pull 1
punitive 1
purportedly 1
pursuing 1
put 1
quit 1
rags 1
reaches 1
real 1
receive 1
recent 1
recognizes 1
recording 1
rented 1
rest 1
restart 1
returns 5
reunite 1
revenge 1
rhd 1
robberyhomicide 1
room 1
same 3
satisfied 1
saying 1
scene 2
search 1
seeking 1
seen 1
sends 2
serial 1
set 1
several 1
sex 1
shaved 1
she 6
shoot 1
shooting 1
shoots 1
show 1
shows 2
signature 1
since 1
slain 1
sock 1
solid 1
some 2
something 1
starts 1
storage 1
sued 1
surveillance 1
suspect 3
sylvia 4
table 1
takes 2
taking 1
tapes 1
task 3
teeth 1
tells 2
that 14
the 65
their 1
then 1
they 4
this 1
those 2
threatens 1
ties 1
time 1
times 1
tip 1
to 35
toenail 1
together 1
tortured 1
transferred 1
trial 1
two 4
under 3
underage 1
unlike 1
unsolved 1
up 2
uses 1
verdict 1
victim 3
victims 6
video 2
vigilante 1
warrant 1
was 5
weekend 1
weeks 1
well 1
were 1
when 6
where 2
which 3
while 1
who 5
widow 3
will 2
with 8
without 1
woman 1
women 2
work 2
years 1
