145429
/m/012gzc
/m/012gzc
Murasaki Shikibu
1021
{"/m/02xlf": "Fiction"}
40 1
a 21
abdicated 1
abruptly 1
advances 1
affair 2
affairs 2
affect 1
after 2
akashi 3
also 2
amusement 1
an 4
ancient 1
and 25
another 2
antihero 1
aoi 2
are 3
area 1
aristocratic 1
as 11
at 1
away 2
bad 1
be 2
bears 2
beautiful 2
because 2
become 1
becomes 5
been 1
begins 3
being 2
believes 1
beloved 2
best 1
bikuni 1
birth 2
blank 1
boy 1
brings 1
brother 1
but 10
by 7
called 1
cannot 1
capital 2
career 2
case 1
cases 1
certain 1
change 2
changes 1
chapter 2
chapters 3
child 1
clouds 1
commoner 1
concentrates 1
concubine 3
confides 1
consolation 1
contemplates 1
court 1
crown 1
current 1
customs 1
damaged 1
daughter 3
daughters 1
death 1
deceased 1
decline 1
describes 1
dies 5
discovered 1
discovers 1
distance 1
does 1
dreams 1
dull 1
during 2
dutybound 1
each 1
educates 1
emotional 1
emperor 14
empress 3
ends 1
enemies 1
engages 1
enters 1
entertains 1
entitled 1
everyone 1
except 1
exiled 1
exploits 1
exposed 1
eyes 1
fact 1
fall 1
fascinated 1
father 4
fathered 1
feelings 1
finally 1
finds 3
finishes 1
first 2
fleeting 1
follow 1
following 1
for 2
forbidden 2
forces 1
forget 1
formerly 1
friend 1
from 2
frustrated 1
fujitsubo 8
genji 37
girl 2
given 1
gives 2
good 1
grows 1
halfbrother 1
harima 1
has 3
he 13
hears 1
her 8
hidden 1
highest 1
hikaru 1
hilly 1
him 1
himself 1
his 26
how 1
however 1
hygo 1
ideal 1
if 1
ill 1
illusion 1
immediately 1
imperial 4
implies 1
in 18
including 1
into 1
involve 1
is 27
it 1
japanese 1
kaoru 6
kashiwagi 1
keep 1
kidnaps 1
kiritsubo 7
kitayama 1
known 7
knows 1
kobe 1
kokiden 2
kumogakure 1
kyoto 2
lady 12
late 1
later 5
left 1
legally 1
life 5
like 1
literature 1
little 1
lives 1
looks 1
love 6
lover 2
lovers 1
loves 2
lowranking 1
maboroshi 2
made 1
makes 1
man 2
marriage 1
marries 2
meanwhile 1
meet 1
meets 1
minamoto 1
minister 1
miya 1
most 1
mother 3
much 1
murasaki 4
nephew 2
new 2
niece 1
niou 4
no 3
northern 1
not 1
novice 1
now 2
nun 1
nysan 1
oborozukiyo 1
of 27
officer 1
old 2
on 3
one 2
only 1
onna 1
open 1
or 3
orders 1
other 2
over 2
own 1
palace 1
pardoned 1
part 1
permission 1
personal 1
place 1
political 3
possible 1
power 2
powerful 1
preceding 1
prefecture 1
prince 3
princess 3
proceeds 1
prosperous 1
province 2
punish 1
raises 1
rank 1
readers 2
real 1
reasons 1
rebuffed 1
recognizing 1
reconcile 1
recounts 1
reizei 5
relationship 1
relegated 1
resembles 1
resistance 1
rest 1
returns 1
right 1
rivalry 1
romantic 1
room 1
rural 2
san 1
second 1
secret 3
secretly 1
seduce 1
sees 1
seidensticker 1
series 1
settsu 1
several 1
she 7
shining 1
similar 1
situation 1
slowly 1
society 1
some 1
something 1
sometimes 1
son 9
soon 1
sorrowful 1
status 2
stepmother 1
succeeded 1
suddenly 1
suma 1
surname 1
suzaku 4
sway 1
swear 1
takes 1
tale 2
tenyearold 1
terms 1
that 4
the 62
their 1
then 2
there 2
these 1
they 2
third 2
this 2
three 1
throne 2
through 1
thus 2
time 2
to 18
together 1
town 1
troubled 1
turns 1
two 1
ue 1
uji 2
unchallengeable 1
unfulfilling 1
vanished 1
version 1
visits 1
waley 1
was 1
weakens 1
when 3
where 1
which 2
while 1
who 5
whom 1
whose 1
wife 3
will 1
window 1
with 8
without 1
wives 1
woman 4
women 1
wondering 1
work 2
world 1
years 2
young 1
