9670468
/m/02pnp5g
/m/02pnp5g
Mór Jókai
1872

1000 1
a 37
able 1
aboard 1
about 6
accusation 1
accusations 1
accuses 1
acquitted 1
actions 1
added 2
adopted 1
adventurer 1
advises 1
after 2
again 1
against 1
agree 1
agrees 4
agricultural 1
ali 1
all 7
allow 1
almost 1
alone 1
also 6
although 1
always 3
amiss 1
amount 1
an 3
and 76
angry 1
another 1
antidote 2
any 2
anybody 1
apology 1
apparently 1
are 5
army 5
around 1
arrive 1
arrives 3
as 7
ask 2
asks 8
assures 1
at 5
ate 1
athalie 20
athanz 3
auction 1
auctioned 1
audience 1
austria 1
authorities 1
awakening 1
away 2
baby 1
back 2
bag 1
barbara 1
barely 1
battle 1
be 14
bear 1
became 1
because 3
becomes 4
bedroom 1
been 1
before 1
beggars 1
begin 1
begins 2
belong 1
belongs 1
betray 1
better 2
between 1
blackmails 1
both 3
bought 1
box 2
bracelet 1
brazovics 21
bread 4
breaks 1
bridal 2
bringing 1
brotherinlaw 1
but 19
buy 4
buying 1
buys 3
by 9
calm 1
can 2
cannot 2
cant 1
carefully 1
carried 2
carrying 1
catch 1
charge 2
charges 2
charity 1
cheap 1
cheapest 1
childhood 1
christianity 1
churches 1
city 1
civilization 1
cliff 1
coins 3
coldly 1
come 1
comes 1
companion 1
compensate 1
compensation 2
confirms 1
confiscated 2
conscience 1
construction 2
constructions 1
continue 1
continues 1
conversation 2
converts 1
could 3
couldnt 1
countries 1
countryside 1
course 1
courting 1
creditors 1
crescent 2
cruel 2
csorbadzsi 6
danger 1
danube 2
daughter 7
day 4
dead 1
death 1
debt 1
decades 1
decides 3
deep 2
demand 1
demanding 2
demands 1
did 1
die 1
died 3
dies 2
disgusting 1
disliked 1
dislikes 1
does 3
doesnt 3
done 1
dont 1
dowry 1
drenched 1
dress 1
driven 1
drunk 1
dwellers 1
each 1
elite 1
else 2
embroidering 1
empire 7
empires 1
engagement 1
enormously 1
enough 1
envies 1
escaped 1
escaping 1
euthym 1
even 2
events 1
every 1
everyone 1
everything 3
evil 1
exactly 1
existence 1
expects 1
explain 1
expropriated 1
extended 1
extradite 1
fact 2
faithful 2
falling 1
false 2
family 2
father 3
fear 1
feels 5
fend 1
fields 1
fights 1
fills 1
finally 2
finance 1
financial 1
finds 4
finish 1
first 1
fled 2
fleeing 1
following 1
follows 1
for 18
foreign 1
former 1
fortifications 1
founds 1
friend 1
from 7
frustrated 1
full 2
funding 1
gain 2
gains 1
game 2
gave 3
gems 1
get 1
gifts 1
girl 2
give 2
given 1
gives 5
go 1
gold 6
golden 2
goodbye 1
goods 1
gown 1
gratitude 1
great 1
greek 2
greeted 1
greets 1
grows 1
guesses 1
habsburg 1
had 1
hand 1
harem 1
has 6
hates 2
have 3
he 86
heart 1
help 1
her 35
here 2
hers 1
herself 1
hesitating 1
hiding 1
highranking 1
him 31
himself 2
his 30
home 7
honesty 1
hope 1
hospital 1
house 2
how 1
however 2
hungarian 1
