2595536
/m/07qjdf
/m/07qjdf
Paulo Coelho


186 1
a 3
about 1
acceptance 1
agape 1
agnus 1
alias 1
along 1
also 1
and 5
as 1
begins 2
by 1
coelho 1
do 1
downtoearth 1
during 1
elements 1
embark 1
eros 1
exercises 1
fails 1
find 1
forms 1
gain 1
goes 1
guide 1
he 7
him 4
his 3
in 1
initiation 1
insight 1
into 3
introduces 1
is 2
its 1
journey 3
learns 1
life 2
love 1
meditation 1
member 1
more 1
mundi 1
must 2
mystical 1
nature 1
of 8
on 1
order 1
petrus 2
philia 1
philosophy 1
pilgrimage 1
ram 3
ranks 1
regnus 1
road 1
santiago 1
shows 1
simplicity 2
some 1
story 1
strange 1
subsequently 1
sword 1
symbol 1
teaches 1
that 2
the 13
then 1
this 1
thought 1
through 1
to 5
told 1
transforms 1
truth 1
understand 1
undertakes 1
western 1
when 1
which 1
who 1
with 1
