5718462
/m/0f0z1t
/m/0f0z1t
Tamora Pierce
1996
a 10
about 1
admitting 1
after 2
age 1
agency 1
agree 2
aided 1
alarming 1
also 1
although 1
an 1
and 13
another 2
anything 1
are 2
arguing 1
as 4
asks 1
at 2
attack 1
attacking 1
back 2
badger 1
be 1
because 1
been 1
before 1
being 1
believed 1
book 3
books 2
bring 1
but 3
by 2
can 1
carthaki 1
chaos 3
childbirth 1
children 1
city 1
daine 15
dead 1
decide 1
decides 1
defeats 1
demigod 1
despite 2
difference 1
discussion 1
divine 2
do 1
does 1
doubts 1
dragonlands 1
dragons 2
easier 1
emperor 2
encounter 1
ends 1
epilogue 1
father 5
feelings 1
fight 2
final 1
finally 1
first 1
flame 1
for 2
forgets 1
former 2
from 1
getting 3
giant 1
go 1
god 3
goddess 2
gods 3
green 1
had 1
happiness 1
harbored 1
harpyanalogous 1
has 2
have 2
he 1
heads 1
healing 1
help 2
her 9
him 2
himself 1
hinted 1
home 1
however 1
human 1
hunt 1
immortals 1
in 14
including 1
into 2
is 10
it 4
journey 1
kill 1
kisses 1
lady 1
lasting 1
league 1
legann 1
life 1
live 2
long 1
look 1
loves 2
major 1
many 1
married 1
marry 1
minor 3
mortal 6
mother 7
much 1
must 2
none 1
northern 2
not 2
now 2
numair 6
number 1
of 13
on 1
one 2
or 1
other 1
out 1
ozorne 2
particularly 1
perilous 1
perils 1
petition 1
pierce 2
platypi 1
port 1
promises 1
provinces 1
queen 2
reach 1
realm 3
realms 7
realmsor 1
relationship 1
return 1
reunited 1
revealed 3
road 1
salmalin 1
sarra 1
saved 1
saving 1
serious 1
she 5
sixteen 1
so 1
some 2
spiders 1
spidrens 1
stay 1
stormwing 1
story 1
strong 1
tamora 2
test 1
than 2
that 3
the 28
their 2
them 3
themselves 1
then 1
there 1
they 4
thirty 1
this 4
though 1
through 2
throughout 1
time 1
to 15
together 1
tortall 2
transported 1
travel 1
trickster 1
true 1
trying 1
two 2
universe 1
unusual 1
up 1
uusoae 3
vents 1
very 2
visit 1
vulnerable 1
weiryn 2
when 1
whether 1
who 1
windows 1
with 6
yet 1
