3979425
/m/0b9t4h
/m/0b9t4h
Kenneth Oppel
1999-08-12
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
100 1
a 43
able 1
about 3
according 1
achilles 1
action 1
active 1
activity 1
adopted 1
afoot 1
after 2
afterward 2
afterwards 1
agrees 1
air 1
airplane 1
alerted 1
all 1
allowing 1
almost 1
aloft 1
already 1
also 1
an 8
ancient 1
and 44
anointed 1
another 4
appears 1
approaching 1
arcadia 2
are 14
ariel 6
arises 1
arrives 1
artificial 2
as 9
assures 1
astonishment 1
at 5
attached 1
attack 1
attacking 1
attacks 1
attempt 2
attempts 2
awaken 1
back 1
barely 1
bat 3
batkind 1
bats 20
battle 4
be 6
became 1
because 1
been 2
before 3
begins 1
being 3
believe 3
belly 1
beside 1
better 1
between 1
bloodthirsty 1
bombing 1
book 2
boreal 3
both 4
bridge 3
brief 1
bring 1
brother 2
brought 1
building 6
built 1
burrowing 1
but 7
by 22
cage 1
caliban 1
camazotz 1
can 1
cannibal 1
cannot 1
captive 2
capture 1
captured 3
cassiel 8
catastrophic 1
caught 1
certain 1
chamber 1
chases 2
chinook 14
chosen 1
city 4
clan 1
clinging 1
close 1
closer 1
closing 1
collapses 1
colony 3
comes 1
coming 1
complete 1
concerned 1
concluding 1
confusion 1
consequently 1
container 2
contains 1
contemplating 1
convince 2
convinced 1
convinces 1
core 1
cortez 6
council 1
crashing 1
curling 1
dark 1
daylight 1
death 2
decide 1
decides 2
despite 1
destroying 1
devastated 1
did 1
dies 1
disappear 1
disc 5
discover 2
discovers 2
discs 1
disk 1
disks 1
do 2
door 3
drenched 1
drop 2
dropped 1
during 1
each 1
ear 2
eats 1
echo 1
echoes 1
eclipse 3
elder 2
elders 1
eldest 1
encounter 1
ends 1
enough 2
ensues 1
enter 2
entrance 2
escape 6
events 1
eventually 2
everyone 1
except 1
exhausted 1
explains 1
explode 1
explosion 1
explosions 1
explosive 1
fall 1
falling 1
fate 1
father 5
favor 1
filled 2
find 7
finding 1
finds 4
fled 1
flies 1
flush 1
fly 5
flying 1
follow 1
following 1
follows 1
for 9
forest 6
forests 1
forever 2
form 1
formed 1
free 2
freed 1
freida 2
frieda 1
friend 2
friends 1
from 6
fur 1
general 2
generated 1
gets 1
give 1
gives 1
go 1
god 1
going 1
good 1
goth 12
graywing 2
graywings 1
group 3
had 2
hands 1
happening 1
has 3
hastens 1
have 1
haven 4
he 12
heading 1
hearts 2
held 1
help 6
helping 2
her 5
herself 1
hibernaculum 1
hiding 1
high 1
him 6
himself 4
his 21
history 1
hollow 1
home 1
homeland 1
hopes 1
horror 1
hotheads 1
however 1
human 1
humans 3
hundred 1
identical 1
if 3
image 1
impact 1
in 19
including 1
induces 1
inform 1
inside 4
insistence 1
instead 1
intended 1
intending 1
intends 1
intentions 1
into 12
investigate 1
is 29
ishmael 2
isis 1
it 11
jams 1
joined 1
joy 1
jungle 1
keep 2
kept 1
kill 2
killing 3
kills 1
king 4
kingdom 1
knowing 1
laid 1
large 1
last 1
later 3
leaders 1
leading 1
leads 1
learn 1
leaves 1
led 5
left 1
lets 1
life 1
like 1
located 1
long 1
loss 1
made 1
make 6
makes 1
manage 2
manages 4
mantis 1
many 1
marina 14
massive 1
mate 2
may 1
mayan 1
meanwhile 2
meet 2
meeting 1
metal 4
middle 1
midst 1
might 1
military 1
minds 1
more 1
most 1
mother 3
name 1
named 1
negotiate 1
negotiation 1
never 1
new 3
news 1
no 1
nocturna 2
northern 5
northerners 1
not 4
notices 2
now 2
occurs 1
of 35
off 2
offered 2
old 1
on 6
one 4
only 3
opens 1
oracle 1
orestes 8
other 4
out 3
outskirts 1
overcome 1
owl 4
owls 8
own 3
panic 1
parents 1
part 1
patch 1
peacefully 1
pictures 1
pike 1
place 3
placed 2
plane 2
plato 1
platoon 1
plays 1
pledges 1
plot 1
point 1
poison 1
possibly 1
prevent 1
previous 1
priest 3
prince 1
prisoners 2
privilege 1
prophecy 3
protect 1
punishment 1
purpose 2
put 2
pyramid 6
quest 1
questions 1
race 1
races 1
raging 1
rat 3
rats 3
reach 1
reaching 1
realizes 2
realizing 1
recaptured 1
recruit 1
reels 1
refuge 1
refused 1
released 1
relents 1
relief 1
reluctant 1
remarks 1
remove 2
remus 1
replies 1
rescue 2
respond 1
rest 1
result 2
retreat 1
return 1
returns 1
reunited 1
reveals 1
right 1
rips 1
river 4
romulus 1
room 1
rule 1
ruled 1
ruler 1
rumored 1
runs 1
sacrifice 1
sacrifices 1
sacrificing 1
safe 1
safety 2
save 1
saves 1
says 2
scientists 1
see 1
sees 1
selected 1
sending 1
series 1
several 3
shade 51
shave 1
she 6
shifting 1
shore 1
shown 1
shows 1
siege 1
silverwing 3
silverwings 7
sister 1
size 1
skin 1
small 1
sneak 1
so 1
solar 1
some 3
something 1
son 2
soon 2
soporific 1
sound 2
sounds 1
south 2
southern 1
spectral 1
spectrum 5
spreads 1
states 1
statue 2
stick 1
still 2
stitched 1
stop 1
stopped 1
stream 1
string 1
stud 1
studs 1
subsequently 1
suggestion 1
sunrise 1
survivors 2
talk 1
tells 1
temporary 1
terrible 1
terror 1
that 18
the 119
their 5
them 7
themselves 1
then 5
there 7
therefore 1
they 13
thinking 1
this 5
though 2
threats 1
throbb 1
through 8
thrown 1
thwarted 1
time 1
to 70
told 2
towards 1
tracker 1
trapped 1
tree 2
tries 1
trigger 1
troughs 1
truce 1
try 2
tunnel 1
turbulence 1
twin 1
two 3
unable 1
underwater 1
underworld 1
unknown 1
unlock 1
up 2
upon 1
upperworld 1
use 1
used 1
uses 2
vampyrum 5
vapor 1
via 1
victims 1
victorious 1
voxzaco 1
wanted 1
war 2
was 2
waterspout 1
waterways 1
waves 1
way 4
weakened 1
well 1
were 1
what 2
when 8
where 5
wherein 1
which 4
while 2
who 9
will 2
winning 1
winter 1
with 9
withheld 1
worshipped 1
would 2
year 1
yet 1
zephyr 1
zotz 3
