380013
/m/021glc
/m/021glc
Stephen Baxter
1995
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/07s2s": "Time travel"}
138 1
144 1
181 1
1871 2
1873 1
657208 1
802701 2
a 25
abducted 1
accompanied 1
acquire 1
acquired 1
actions 1
ad 2
add 1
advanced 1
adventures 1
after 4
again 3
agrarian 1
alias 1
all 3
along 1
altering 1
an 5
analogous 1
and 43
anew 1
another 3
apparently 1
appendix 2
applied 1
are 5
argonauts 1
army 1
around 2
arrived 1
arrives 2
as 5
asks 1
at 2
atomic 1
attempts 1
austrian 1
available 1
avoid 1
away 1
axis 1
back 3
bare 1
barely 1
based 1
be 2
became 1
because 1
become 2
before 4
beginning 2
begins 2
behind 1
benefactor 1
between 1
beyond 1
board 1
bomb 2
bombing 1
bond 3
book 1
branch 3
britain 1
build 1
building 1
but 2
by 13
call 1
calls 1
campsite 2
capsule 1
carolinum 1
causality 1
cause 1
central 1
changed 1
character 1
chronic 2
circle 1
cities 1
closed 1
clothing 1
colonies 1
colonizing 1
colony 1
command 1
commanded 2
completed 1
composed 1
conclusively 1
conflict 1
confusion 1
consciousness 1
constructed 1
constructing 1
construction 1
constructor 2
constructors 8
contributions 1
convinces 1
creating 1
culturally 1
dark 1
day 1
daytime 1
death 1
depart 1
departs 1
dependence 1
descendants 1
destroys 1
devastates 1
develop 1
died 1
dimensions 1
discovered 1
discovery 1
doing 1
domes 1
down 1
drops 1
due 5
during 1
dyson 2
earlier 1
earth 2
eliminate 1
eloi 3
encased 1
encourages 1
ends 2
energy 3
enhanced 1
enough 1
entered 1
entirely 1
entities 1
environment 1
escape 1
even 1
events 1
eventually 1
expand 1
expatriate 1
expeditionary 1
explains 2
explosion 1
faithful 1
few 1
fiftymillion 1
filby 1
final 1
finally 1
find 1
finished 1
fire 1
first 3
follows 1
food 1
for 4
force 2
form 1
found 1
free 1
friend 1
from 8
fuel 1
future 3
gave 2
gdel 3
german 1
germans 1
germany 1
given 1
go 2
goal 2
gone 1
gottfried 1
government 1
grand 1
half 1
harvest 1
has 3
have 2
he 15
hearing 2
help 1
hence 1
her 1
hilary 3
him 5
himself 1
his 11
historical 2
histories 1
history 3
hold 1
hope 1
hopefully 1
hopes 1
hoping 1
host 1
however 1
human 2
humans 1
i 1
ie 1
if 1
in 24
inaccessible 2
influenced 1
inner 2
insert 1
integrate 1
into 6
is 16
it 6
its 1
joins 1
journey 5
juggernaut 1
juggernauts 1
just 1
killed 1
knowledgeable 1
knows 1
kurt 1
later 1
latter 1
leads 1
leaves 1
led 1
left 1
life 1
lifeforms 1
like 1
live 2
local 1
london 3
loss 1
machine 6
major 1
makes 1
many 1
matter 1
mechanism 1
messerschmitt 1
met 1
million 2
mirroring 1
moments 1
moon 1
more 2
morlock 1
morlocks 7
moses 6
mount 1
multiplicity 2
mysterious 2
name 2
nanotechnological 1
nebogipfel 16
never 1
new 2
next 1
night 1
no 1
not 1
notes 1
novel 1
now 1
number 1
occurred 1
of 32
off 3
older 1
on 11
once 2
one 3
ones 1
only 1
or 1
orbit 1
order 1
original 1
our 1
outer 1
over 3
own 2
packet 2
paleocene 1
party 1
past 1
permanently 1
personnel 1
persuade 2
pessimistic 1
place 1
plan 1
plane 1
planet 1
plans 1
plattner 1
plattnerite 10
point 3
power 2
prepares 1
proof 1
prototype 1
provides 1
providing 1
publication 1
pulls 1
quartz 1
radioactive 1
raid 1
reach 1
reactivates 1
reader 1
ready 1
reality 2
realized 1
realm 1
recounting 1
reduce 1
related 1
remains 1
renders 1
repairing 1
research 2
result 1
return 2
revealed 1
reveals 1
revolution 1
sample 2
save 2
saves 1
saying 1
scouting 1
scribe 1
sealing 1
seals 1
see 3
self 4
set 1
shavings 1
she 1
shell 1
ship 1
ships 1
since 1
sky 2
so 1
society 1
solar 1
soldiers 1
some 1
something 1
sought 1
speak 1
sphere 2
spheres 1
star 1
stars 2
start 2
stop 2
stops 2
story 3
stranded 1
stranger 1
stretched 1
study 1
substance 1
successors 4
suffered 1
suffused 1
sun 2
sunlit 1
suppose 1
surface 1
survival 1
system 1
take 1
takes 1
tampering 1
tanklike 1
tended 1
than 2
that 13
the 128
their 7
them 4
then 1
there 2
these 2
they 4
theyve 1
thinks 1
this 8
thousands 1
through 2
thus 2
time 45
timecar 5
timeline 2
timelines 1
timetravel 1
timetraveling 1
to 48
took 1
travel 6
traveling 2
traveller 27
travels 2
tree 1
tries 1
twelve 1
twenty 1
twentyfour 1
under 2
understand 1
uninhabitable 1
universal 2
universe 1
unobserved 1
up 1
upon 1
use 1
vehicle 1
vehicles 1
version 1
vial 1
view 1
war 3
was 3
weeks 1
weena 2
wells 3
what 2
when 6
where 2
which 4
while 1
who 4
whole 1
whom 1
will 3
win 1
with 7
work 1
worked 1
works 1
world 4
worlds 1
would 2
wrecked 1
writer 1
writes 2
yard 1
year 4
years 4
younger 4
