5942332
/m/0ffqwg
/m/0ffqwg
Jacek Dukaj
2003
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy"}
a 7
africa 1
alexandria 1
and 4
as 1
berbelek 1
born 1
broken 1
but 1
by 2
centuries 1
chain 1
chance 1
christ 1
city 1
colony 1
death 1
defeated 1
depths 1
domain 1
easily 1
events 1
fabled 1
fall 1
fewer 1
first 1
flying 1
form 3
forms 1
from 1
have 2
he 2
her 1
hieronim 1
him 2
his 2
however 1
into 1
journey 2
known 1
kratistoses 1
kristos 1
lands 1
later 1
leader 1
library 1
listen 1
lowly 1
makes 1
man 1
many 1
may 1
merchant 1
molded 1
moon 1
mysterious 1
natural 1
new 1
of 8
off 1
on 2
once 1
one 1
or 1
other 1
others 1
passed 1
people 1
powerful 1
reduced 1
regaining 1
rome 1
sad 1
sets 1
since 2
small 1
spirit 1
strategos 1
stronger 1
the 7
this 1
those 1
through 1
to 4
twelve 1
warlock 2
was 2
were 1
when 1
whose 1
with 1
