27518176
/m/0c039_0
/m/0c039_0
Richelle Mead
2010-12-07
a 19
abe 1
abilities 1
able 2
about 5
acting 1
actually 1
admits 1
adrian 7
after 5
again 2
againshe 1
against 1
aiding 1
alchemists 1
along 1
also 4
ambrose 1
among 1
an 1
anchor 1
and 47
another 1
are 7
arguing 1
around 1
arrive 1
as 10
assembled 1
at 10
attempt 2
attempts 1
auras 1
awakens 1
back 6
battles 1
be 5
because 1
become 1
becomes 1
begins 1
being 5
belongs 1
between 1
blacks 1
blame 1
blames 1
bloodline 2
blow 1
bond 2
bonded 1
both 3
break 1
bright 1
brink 1
broken 1
brothers 2
brought 1
bullet 1
but 5
by 3
can 2
carries 1
causing 1
cell 1
changes 1
chaos 1
charges 1
chest 1
child 1
chooses 1
christian 1
christians 1
church 1
clear 1
comes 1
comfort 1
compel 1
confirming 1
confronts 1
confuses 1
constant 1
contemplating 1
continue 1
convalescence 1
convinces 1
coronation 1
council 1
court 8
creating 1
crowd 1
crowned 1
daniella 1
dashkov 1
days 1
death 1
debate 1
decision 2
depends 1
despite 1
dhampirs 2
different 1
dimitri 15
dimitris 1
discover 1
discovers 1
distraction 1
distraught 1
dragomir 3
dreams 2
drive 1
during 1
each 1
eddie 1
election 1
eligible 1
embrace 1
embracing 1
enables 1
ends 1
entire 1
eric 1
escape 2
evening 1
ever 1
everyone 1
extraordinarily 1
fact 1
failed 1
feeling 1
feelings 1
few 1
fight 1
final 1
finally 1
find 3
first 1
flee 1
for 14
forcing 1
forgive 1
forward 1
four 1
framed 1
friends 1
from 2
front 2
full 1
funeral 1
further 1
future 1
get 1
girlfriend 1
glimpse 1
goingson 1
good 1
gotten 1
grabs 1
group 2
guardian 2
guardians 4
guilt 1
gun 1
halfsibling 1
halts 1
hand 1
happier 1
has 1
hated 1
have 3
having 1
he 7
head 1
heads 1
healed 1
healing 1
help 1
helping 1
her 26
herself 3
hiding 1
him 6
himself 1
his 4
holds 2
hostage 1
hotel 1
hours 1
house 3
however 1
huge 1
humans 1
humorous 1
hurries 1
illegitimate 1
in 19
inadvertently 1
induced 1
ineligible 1
information 4
infused 1
initial 1
insists 1
into 2
invade 1
involves 1
is 17
it 1
its 1
jill 5
jillian 1
joyfully 1
jumps 1
just 1
karp 1
keepers 1
kentucky 1
kept 1
kidnap 1
killed 1
killer 1
kills 1
kiss 1
later 3
leads 1
leave 1
leaving 1
life 1
lissa 12
lissas 4
locate 1
long 1
longed 1
longer 1
look 2
looking 1
losing 1
love 3
lover 1
loves 1
make 1
makes 2
making 1
mans 1
mastrano 1
mastranos 1
matters 1
meet 2
mia 1
michigan 1
mikhail 3
mind 1
more 1
moroi 5
motel 1
mother 1
much 1
murder 1
murderer 1
must 1
name 1
near 1
needed 1
negated 1
new 1
no 1
not 3
notices 1
novel 1
now 1
occasionally 1
of 19
on 4
once 1
one 4
only 1
onto 1
open 1
opportunity 1
order 1
other 1
out 5
outside 1
over 2
own 1
palace 1
pardons 1
part 2
passes 1
person 2
policies 1
presents 1
pressing 1
prison 2
process 1
prove 1
queen 7
questioning 1
quickly 1
quorum 1
rage 1
raid 1
rash 1
reach 1
reaching 1
realizes 1
received 1
recover 1
recovering 1
refuses 1
regrets 1
relationship 3
relays 1
remainder 1
restored 1
result 1
revealed 1
reveals 2
robert 3
room 1
rooms 1
rose 26
roses 1
royal 1
running 1
safety 1
saying 1
scatter 1
sees 1
series 2
sex 1
shares 1
she 20
shine 1
shock 1
shooting 1
shows 1
sibling 1
side 1
silently 1
silver 1
slip 1
so 1
sole 1
sonya 6
soon 1
speculate 1
spends 1
spirit 5
st 1
stake 1
staking 1
standing 1
statues 1
statuses 1
stop 1
strange 1
strigoi 2
suddenly 1
sydney 4
take 2
takes 3
taking 1
tasha 5
tatiana 2
tatianas 1
teacher 1
tells 6
tests 1
than 1
thanks 1
that 12
the 49
their 3
them 5
then 1
there 1
they 14
thinks 1
this 2
throne 2
time 2
to 32
too 1
traveling 1
triumph 1
true 1
try 1
two 1
unsettling 1
until 3
up 4
upon 1
using 2
victor 3
view 1
virginia 1
visits 2
vladimir 1
was 3
west 1
when 3
where 3
whether 1
which 2
while 1
who 6
why 2
will 1
with 12
without 2
witnesses 1
won 1
worthy 1
yearning 1
