27166055
/m/0bwgg3y
/m/0bwgg3y
Gloria Skurzynski
1999-03-01
{"/m/05hgj": "Novel"}
a 4
abelard 6
able 1
about 1
accompanies 1
affair 1
after 1
an 1
and 7
aran 2
are 1
around 1
as 3
because 1
become 1
been 2
begins 1
boy 1
brittany 1
brought 1
but 1
by 1
can 1
cannot 1
captivity 1
caught 1
charismatic 1
child 2
childhood 1
common 1
concerns 1
couple 1
cruel 1
devastated 1
does 1
drained 1
during 1
eloise 5
escaping 1
even 1
ever 2
fall 1
finally 1
flee 1
for 2
forbidden 1
forced 1
france 1
from 1
give 1
giving 1
goes 1
growing 1
grown 1
guardians 1
had 2
has 2
he 11
him 2
hires 1
his 11
hold 1
home 1
hope 1
how 2
idol 2
impoverished 1
in 3
into 1
is 7
kind 1
learns 1
life 1
linking 1
misery 1
most 1
mute 1
name 1
named 1
need 1
new 1
nicknamed 1
not 2
notice 1
now 1
of 4
old 1
on 1
once 1
one 1
own 1
passion 1
people 1
period 1
pregnant 1
problems 1
read 1
rescuing 1
returns 2
scholar 1
seems 1
sees 1
separate 1
servant 1
should 1
skill 1
slowly 1
so 1
sold 1
speak 4
spider 6
spinning 1
student 1
talent 1
teaches 1
temporarily 1
that 1
the 5
their 1
then 1
they 1
this 1
thread 1
to 10
trash 1
two 1
up 2
use 1
visit 1
when 2
where 1
while 2
who 1
will 1
with 3
wool 1
worships 1
young 1
