30660664
/m/0g9wyk9
/m/0g9wyk9
Jack Vance

a 7
academic 1
adopted 1
age 1
ago 1
also 1
an 1
and 2
aristocratic 1
be 1
beating 1
become 1
bring 1
but 1
by 1
childless 1
closed 1
constant 1
couple 1
creations 1
crippling 1
death 1
discover 2
engineered 1
erased 1
fader 2
father 1
faths 1
fear 1
fierce 1
find 1
for 2
from 2
galaxy 1
goal 1
golden 1
grows 1
has 1
he 2
him 1
his 6
in 2
inhabitants 1
jaro 2
journey 1
just 1
justice 1
lifestyle 1
live 1
long 2
maintain 1
many 1
memories 1
memory 1
missing 1
mother 2
must 2
nearfatal 1
not 1
now 1
of 6
only 1
outsider 1
passed 1
physical 1
planet 1
pride 1
races 1
rest 1
save 1
slave 1
social 1
spaceman 1
status 1
still 1
striving 1
suffers 1
support 1
takes 1
the 5
their 2
them 1
they 3
though 1
to 5
together 1
truth 1
up 1
way 1
when 1
which 1
whose 1
with 1
world 1
wounds 1
young 1
