3331541
/m/0967y0
/m/0967y0
F. Scott Fitzgerald

{"/m/02xlf": "Fiction"}
1 1
a 8
about 1
agrees 1
am 1
an 1
and 11
around 1
as 1
at 3
attitude 1
august 1
barbershop 1
be 1
becomes 1
been 1
before 2
bernice 16
best 2
between 1
big 1
bob 1
bobbing 1
boy 1
boys 5
braids 1
but 2
cause 1
claire 1
clear 1
comes 1
complains 1
concerns 1
conversation 1
conversations 1
cousin 2
cuts 1
dance 2
day 2
decides 1
deciding 1
desirable 1
drag 1
eau 1
especially 1
even 1
feels 1
flat 1
flirt 1
for 1
from 2
front 1
get 1
girl 3
goes 2
going 1
hair 3
haircut 1
hairdo 1
has 1
held 1
her 15
herself 1
his 1
hit 1
hold 1
honor 1
hopeless 1
how 3
humiliating 1
idea 1
in 4
interest 2
interesting 1
into 3
is 6
it 2
keeps 1
leave 3
let 1
liberated 1
life 1
line 1
lose 1
make 1
marjorie 13
middle 1
month 1
more 1
mother 2
neglects 1
new 3
next 2
night 1
none 1
of 4
off 1
on 4
only 1
onto 1
or 1
out 2
overhears 1
own 1
packs 1
party 2
points 1
porch 1
realizes 1
relents 1
room 1
run 1
scandal 1
seem 1
seen 1
sets 1
she 4
shifted 1
sneaks 1
social 1
socially 1
society 1
soon 1
station 1
story 1
strange 1
suddenly 1
taking 1
teaches 1
teasing 1
that 5
the 19
them 2
they 1
threatens 1
through 1
throwing 1
time 1
to 13
town 3
train 1
tricked 1
tricking 1
trunk 1
turn 1
two 1
unattractive 1
unfazed 1
uninteresting 1
upcoming 1
visit 1
want 1
warren 3
was 1
watch 1
wealthy 1
when 3
where 1
which 1
who 1
will 2
wisconsin 1
with 9
women 1
would 2
younger 1
