668034
/m/03196t
/m/03196t
Richard Yates
1978
15 1
30 1
a 12
abigail 1
academy 5
addressing 1
adolescent 1
adults 1
affair 1
afterword 2
also 1
amount 1
an 2
and 6
announced 1
annual 1
are 1
arriving 1
as 4
at 3
attempts 1
audience 1
author 1
avon 2
away 1
back 1
be 1
beautiful 1
becomes 1
bed 1
best 1
body 1
book 2
boys 2
called 1
certainly 1
chair 1
chemistry 2
church 1
close 1
could 1
create 1
crippled 1
crude 1
dance 1
daughter 1
debt 1
decide 1
decides 1
dependent 1
directly 1
distance 1
divorce 1
documents 1
dorset 5
down 1
dr 2
draper 2
due 1
edith 1
editor 1
ejaculation 1
end 2
energy 2
english 1
erections 1
especially 1
estranged 1
even 1
experiences 1
false 1
farms 2
feet 1
first 1
for 3
foreword 2
founder 2
french 1
from 4
game 1
girls 2
good 1
group 1
grove 3
hand 1
hang 1
harbors 1
hard 1
harvard 1
have 1
having 1
he 3
her 1
hide 2
him 2
himself 1
his 8
home 1
hooper 1
however 2
humiliation 1
impression 1
in 5
insist 1
institution 2
into 1
is 10
it 4
its 1
jack 1
jeanpaul 1
la 1
lab 1
learned 1
looks 1
main 1
make 1
makes 1
man 1
many 1
master 3
masters 1
masturbating 1
modeled 1
more 1
mother 1
mounting 1
much 1
named 1
narrator 1
nostalgically 1
novel 2
now 2
of 18
old 2
older 1
on 7
one 2
only 2
or 1
other 1
own 1
paper 1
parents 1
person 2
pinning 1
point 1
polio 1
pope 1
prade 1
prep 1
private 1
proceeds 1
push 1
puts 1
reconciles 1
reemerge 1
reference 1
relates 1
reputation 1
retreating 1
riddle 1
rudiments 1
scholarship 1
school 6
schoolmates 1
secondrate 1
seen 1
selecting 1
senile 1
sexual 2
sheer 1
small 1
son 1
sort 1
spring 1
standin 1
stone 2
students 2
suffer 1
teachers 2
than 1
that 2
the 36
their 1
theodate 1
there 1
they 1
thinlyveiled 1
third 1
this 1
throughout 1
to 9
told 2
too 2
toward 1
trade 1
tremendous 1
true 1
try 1
under 2
unusual 1
weak 1
weaker 1
wealthy 1
what 1
when 1
where 3
whether 1
which 1
who 2
wife 2
will 1
william 2
with 3
witness 1
woman 1
writer 1
yates 3
yearandahalflong 1
yearold 1
years 1
