23008930
/m/064pgb7
/m/064pgb7
Haruki Murakami

10yearold 1
174 1
184 1
1q84 3
1q84s 1
20 1
30 1
a 52
abandon 1
about 4
abuse 4
abused 2
abuser 1
abusive 1
actions 1
actually 1
addition 1
address 1
adopt 1
after 6
again 1
against 2
agency 1
agrees 1
air 5
akebono 1
all 1
almost 1
also 3
alternate 1
always 1
an 7
and 54
another 1
any 2
aomame 29
apartment 4
appear 1
appears 1
april 1
archives 1
are 4
around 1
arranged 1
articles 1
as 13
ask 1
asks 3
asleep 1
assignment 2
assume 1
at 7
attempts 1
attendant 1
author 2
awkwardly 1
ayumi 4
azami 1
back 1
bars 1
be 4
because 1
becomes 3
been 9
before 1
begin 1
begins 2
beings 1
between 3
bizarre 1
blood 1
body 1
bodyguard 1
book 1
both 3
bright 1
building 4
but 5
by 10
called 4
calls 1
camera 1
can 4
capable 1
car 1
career 1
carrying 2
catches 1
change 1
character 1
checks 1
child 1
childhood 1
children 1
chrysalis 4
classmates 1
classroom 1
clear 2
climb 1
close 1
closer 1
cocoon 1
colleague 1
combine 1
coming 1
committed 1
commune 7
composes 1
concerned 1
concerns 1
conclude 1
concludes 1
contact 2
contest 2
conversation 1
create 1
creature 1
criminals 1
cult 1
current 1
daughter 2
daughters 1
day 2
deal 1
death 2
december 1
decides 1
deductive 1
deepens 1
described 2
despite 1
details 1
detective 3
determine 1
did 1
died 1
different 1
disagreements 1
disappeared 1
disappears 1
discomfort 1
do 2
does 1
doing 1
domestic 3
done 1
doorstep 1
dowager 12
down 1
draw 1
driver 1
during 3
dying 1
dyslexic 1
each 2
earlier 1
ebisuno 7
ebisunosensei 3
editor 1
efforts 1
emergency 1
ends 2
engaged 1
enormous 1
entered 2
eri 1
escape 1
especially 1
events 2
eventually 3
ever 2
everyone 1
evidence 1
example 1
experiences 1
explain 1
extremists 1
eyetoeye 1
factions 1
facts 1
failure 1
father 3
fear 1
fictionalized 1
fighting 1
finally 3
find 3
finding 1
finds 3
first 1
focuses 1
follow 1
followed 1
following 1
follows 1
for 5
forcefully 1
formed 1
founded 1
friend 2
friends 1
friendship 1
from 9
fuel 1
fukada 5
fukaeri 17
fundamental 1
gather 1
gathering 1
get 1
gets 1
girl 2
girls 1
goes 2
going 2
good 1
got 1
grasped 1
group 2
guarded 1
guardian 2
guest 2
gunfight 1
had 8
hand 1
hands 1
happened 2
hard 1
harm 1
has 12
have 6
he 24
head 1
hear 1
heard 2
heart 1
help 1
her 19
hers 1
herself 3
hiding 2
high 1
him 8
himself 1
hired 1
his 6
holding 1
home 1
hotel 6
house 2
how 1
however 2
if 2
important 1
in 27
indications 2
information 2
intelligent 1
interrogates 1
into 6
introduced 1
introduces 1
investigation 2
investigator 1
investigators 1
involved 2
is 17
it 13
its 2
jam 1
janek 1
july 1
june 1
kill 6
killing 2
kills 1
knowing 1
knowledge 1
knows 1
komatsu 2
lake 1
later 1
lawyer 1
leader 8
leadership 1
leading 2
learns 1
leaves 2
leaving 2
left 1
legal 1
liability 1
life 1
like 1
likes 1
literary 3
little 2
lives 1
living 3
location 1
logic 1
long 1
looking 1
lost 1
love 1
made 2
major 2
make 2
makes 2
man 1
manage 1
manuscript 3
marks 1
massage 1
meanwhile 1
meet 3
meeting 1
meets 3
members 3
memories 1
men 2
mentioned 1
mentor 1
met 1
might 1
moment 2
moon 1
moons 1
more 1
motosu 1
mountains 1
mouth 1
much 1
murder 3
murders 1
muscle 1
must 2
mysteriously 1
mystical 2
name 1
named 2
natural 1
nature 1
near 1
neither 1
never 1
new 5
news 1
newspaper 1
newspapers 1
nicknames 1
no 4
nor 1
not 5
note 1
notices 1
noticing 2
novel 5
now 2
occasionally 1
october 1
of 33
off 1
older 2
on 10
once 2
one 6
only 4
opens 1
or 2
order 3
ordered 1
organized 1
original 2
other 5
otherwise 1
out 9
outings 1
outside 1
over 1
own 2
owned 1
parallel 1
parents 3
passed 1
past 1
pasts 1
pen 1
people 4
performs 1
permission 1
person 1
personal 2
phones 1
physically 1
picking 1
pictures 1
pistols 1
place 2
playing 1
point 1
police 2
policemen 1
policewoman 1
poses 1
powers 1
prearranged 1
prefecture 2
prepubescent 1
presence 1
present 1
prestigious 1
private 1
problems 1
prodigy 1
professional 2
professor 1
project 1
promiscuous 1
promising 1
promote 1
protect 1
psychologically 1
pulled 1
pursued 2
radical 1
radio 2
reading 1
reads 1
reality 3
realize 1
reasoning 1
recall 1
recent 3
recollection 1
recovers 1
referred 1
refers 1
related 1
relationship 2
releases 1
relieve 1
religious 2
remain 1
remembered 1
remove 1
rents 1
repels 1
report 1
reported 1
representing 1
researches 1
reservations 1
residents 1
retained 1
return 2
revealed 1
reveals 1
revolvers 1
rewrite 1
rewriting 1
robots 1
room 3
safe 1
safehouse 1
safety 1
sagikake 1
sakigake 10
school 1
second 1
see 4
seems 1
sees 1
semiautomatic 1
sensei 1
sent 1
september 1
session 1
set 2
sets 1
seven 1
several 1
severe 1
sex 1
sexually 2
she 21
shibuya 1
side 1
signified 1
simply 1
since 3
sinfonietta 2
single 2
sky 1
sleeps 1
small 2
sneaks 1
so 2
soon 1
