9395277
/m/02874dr
/m/02874dr
Gila Almagor


151 1
a 5
affectionate 1
again 1
all 1
almagor 1
also 1
and 8
at 1
attempting 1
aviya 6
be 2
beautiful 1
behavior 1
between 1
beyond 1
breakdowns 1
bright 1
but 1
by 4
cease 1
chronicles 1
climax 1
coming 1
complex 1
considered 1
constantly 1
could 1
courageous 1
daughter 1
during 2
emotional 1
ends 1
erratic 1
established 1
experience 1
family 1
fantasizes 1
father 2
fiercely 1
fighter 1
film 3
find 2
for 2
forge 1
fragile 1
from 2
girl 1
henya 3
her 13
herher 1
herself 2
holocaust 1
horrid 1
husband 1
if 1
imagination 2
in 3
independent 1
is 6
israel 2
israelis 1
leads 1
life 3
line 1
loss 1
loving 1
madness 1
maturity 1
mental 1
mocked 2
mother 3
native 1
new 1
newly 1
now 1
of 7
once 1
only 1
partisan 1
peers 1
periodic 1
played 1
problems 1
psychological 1
quest 1
reaching 1
realities 2
regarding 1
relationship 1
sanity 1
scares 1
set 1
she 4
state 1
stem 1
summer 2
tenyearold 1
terms 1
that 1
the 13
thin 1
times 1
to 5
tortured 1
vivid 1
walks 1
war 1
warm 1
was 1
whole 1
whose 1
wild 1
with 4
would 2
years 1
yet 2
