4845122
/m/0cqnlt
/m/0cqnlt
Anne Fine

{"/m/02xlf": "Fiction"}
a 10
about 1
absconded 1
actions 1
addresses 1
after 6
aired 1
all 2
along 1
also 1
an 2
and 8
apparently 1
approvalhowever 1
are 1
arrive 1
as 3
at 1
attempted 1
attempts 1
away 3
bag 1
beard 1
beautiful 1
because 1
bed 1
before 1
behind 1
belonging 1
best 1
between 1
biological 1
birth 1
both 2
bought 1
broken 1
but 2
by 4
callie 2
cannot 1
carlet 1
caused 1
childbirth 1
children 7
claudia 5
coldstone 1
colin 4
comical 1
contact 1
cow 1
dad 2
day 1
death 1
description 1
desk 1
diary 1
died 1
dinner 1
discover 1
discussion 2
dislikes 1
divorced 1
divulging 1
do 1
dumpa 1
each 1
empty 1
entertains 1
especially 1
extended 1
faces 1
failing 1
fails 1
family 2
father 5
fever 1
fights 1
finally 1
find 1
five 1
for 1
forms 1
friends 1
from 3
front 1
frustrated 1
frustrations 1
future 2
get 1
going 1
grief 1
grievances 1
grouped 1
guests 1
had 7
hall 2
harwick 3
he 4
her 10
herself 1
him 3
his 13
home 2
house 1
ignore 1
in 6
infatuated 1
instead 1
into 2
is 2
jack 2
keep 1
known 1
leads 1
left 1
loved 1
lucy 2
made 2
make 2
mansion 1
marriage 1
mistake 1
mother 5
moved 1
much 2
named 1
nice 1
not 1
notices 1
of 10
old 1
on 3
one 3
other 1
own 1
owner 1
parents 3
partner 1
party 1
passed 1
pixie 3
place 1
plans 1
pleasant 1
politeness 1
previous 2
problems 1
pyjamas 1
quarrel 1
ralph 2
ran 1
reaching 1
react 1
read 1
reading 1
realise 1
realises 1
reason 1
recounts 1
remarriage 1
reminder 1
returned 1
reveals 2
reverend 1
richard 5
robbo 2
room 1
run 1
school 1
second 1
secret 1
secretly 1
separated 1
separation 1
several 1
she 1
shocking 1
sister 2
so 1
some 1
spanning 1
sparks 1
state 1
stella 3
stepbrother 1
stepfamily 1
stepfather 2
stepmother 2
stepmothers 1
stepsisters 1
story 3
strict 1
subsequent 1
that 3
the 19
their 4
them 2
then 1
they 6
this 2
to 12
together 1
too 1
tries 1
trip 1
trouble 1
two 2
unburdened 1
unemployed 1
up 1
upon 1
very 1
was 4
way 1
wearing 1
well 1
were 1
what 1
while 3
who 4
whom 1
win 1
with 7
woman 2
wooden 1
written 1
