23558643
/m/06w29xq
/m/06w29xq
Mary Wesley
1987
1 1
48 1
67 1
a 7
after 2
age 2
agrees 1
all 1
an 1
and 5
at 3
away 1
back 1
been 2
beloved 2
break 1
but 3
called 1
century 1
convenience 1
cooper 1
could 1
country 1
couple 1
daughter 1
death 1
diesshortly 1
do 1
doesnt 1
dont 1
during 1
each 1
falls 1
few 1
free 1
from 2
garden 1
go 1
going 1
half 1
has 3
her 10
him 2
home 1
hotel 1
house 3
however 1
husband 3
if 1
immediately 1
in 7
inherited 1
installed 1
is 4
it 1
its 2
know 1
law 1
leave 1
leaves 1
life 2
looking 1
lot 1
love 5
marriage 4
married 1
meeting 1
moves 1
mylo 2
ned 4
never 3
night 1
not 2
now 2
of 4
on 3
only 1
other 1
owner 1
passionate 1
passionately 1
peel 1
penniless 1
promise 1
promised 1
real 1
room 1
rose 5
safe 1
secretly 1
she 7
shortly 1
slepe 3
so 1
son 1
starts 2
taking 1
temporarily 1
that 1
the 9
their 1
they 1
thing 1
things 1
throughout 2
to 2
uncle 1
until 1
visiting 1
war 1
wedding 2
where 1
with 5
would 1
years 1
