24756137
/m/09gqbbl
/m/09gqbbl
Kathryn Stockett
2009-02-10
{"/m/05hgj": "Novel", "/m/0hwxm": "Historical novel"}
160s 1
24yearold 1
60s 1
a 6
about 4
abruptly 1
accident 1
africanamerican 1
africanamericans 2
aibileen 3
all 2
also 1
an 2
and 11
anyone 1
are 4
as 2
assistance 1
at 1
away 1
barriers 1
becoming 1
been 2
being 2
believe 1
book 1
but 1
by 1
cares 1
caring 1
characters 2
chicago 1
children 1
cleans 1
college 2
colored 1
come 1
comes 1
communicate 1
community 1
confrontational 1
constantine 4
constantly 1
continually 1
cotton 1
customs 1
dangers 1
daughter 1
decides 1
died 1
differently 1
disappearance 1
discuss 1
does 1
dream 1
dreams 1
during 1
early 2
employees 1
employer 1
employers 1
employs 1
eugenia 1
experienced 1
explored 1
families 1
family 3
farm 1
fields 1
finished 1
fired 1
first 1
firstperson 1
for 3
former 1
forth 1
frequently 2
friend 1
friends 1
from 4
gain 1
get 1
had 1
has 2
having 1
head 1
help 2
her 10
hilly 2
his 1
holbrook 1
home 1
homecoming 1
household 2
houses 1
hover 1
how 1
in 9
information 1
is 8
issues 1
jackson 1
job 2
jobs 1
junior 1
just 2
last 1
laws 1
leader 1
leads 1
league 1
leave 1
led 1
leefolt 1
letter 1
life 1
live 1
lives 1
longstanding 1
mae 1
maid 4
maids 2
main 1
many 1
married 1
minny 3
mississippi 2
mobley 1
morals 1
most 1
mother 2
mrs 1
nemesis 1
nineteen 1
no 1
not 1
of 15
on 1
one 1
out 1
over 1
overcoming 1
own 1
perspectives 1
phelan 2
primarily 1
prominent 1
promised 1
publisher 1
pursues 1
quit 1
racial 1
raised 1
realization 1
recent 1
relatives 1
resulting 1
reveal 1
set 1
she 7
since 1
skeeter 10
social 1
socialites 1
son 1
south 1
southern 1
speaking 1
struggles 1
sudden 1
surprise 1
tells 2
tending 1
that 5
the 29
their 2
them 1
then 1
thinks 2
three 3
to 8
toddler 1
told 1
treated 2
treelore 1
trust 1
truth 1
undertaking 1
upon 1
various 1
very 1
walters 1
wants 1
was 2
well 1
went 1
what 1
while 2
white 3
who 3
whose 1
will 1
with 4
women 2
wonders 1
would 1
writer 1
writing 2
young 1
