2191889
/m/06tsp6
/m/06tsp6
Iain Lawrence

10year 1
114 2
118 1
123 1
25 1
26 1
a 13
about 1
after 3
afternoon 1
afterward 1
all 1
also 1
an 1
and 12
appear 1
appears 1
army 1
around 1
as 2
at 6
aunt 1
back 1
battle 1
battles 2
beginning 4
begins 1
being 1
between 1
book 6
both 1
briggs 2
brings 1
brown 1
build 1
bullied 1
but 3
by 3
came 1
chapter 1
chest 2
christmas 1
classic 1
cliffe 1
close 1
clothes 1
comes 3
continues 2
controlling 1
crack 1
creations 1
days 1
december 1
demonstrating 1
dies 1
direct 1
down 1
draw 1
during 2
eerily 1
enacts 1
enlist 1
enlisted 1
enlists 1
enthusiastic 1
entirely 1
events 2
eventually 1
every 4
expression 1
face 1
factory 1
fades 1
family 2
father 7
fawkes 1
fire 1
first 1
for 3
force 1
forced 1
form 1
four 1
france 1
friend 3
from 6
front 2
frustrated 1
getting 1
girl 1
going 1
green 1
grim 1
grin 1
grotesque 1
guy 1
had 1
hairline 1
halfinch 1
has 1
have 1
he 10
health 1
height 2
help 1
her 1
him 2
himself 1
his 16
home 2
homer 1
house 1
however 1
i 2
iliad 1
in 10
increasingly 1
interference 1
irrationality 1
is 16
it 3
its 3
ivy 1
job 1
johnny 14
joins 1
knothole 1
lacks 1
later 1
leaves 1
letter 1
letters 3
like 1
line 1
lines 1
literature 1
live 2
london 1
lowered 1
main 1
mainly 2
making 1
men 1
mentality 1
misses 1
model 1
moldy 1
more 1
most 1
mother 2
mournful 1
moved 1
moves 1
mr 1
much 1
newly 1
no 1
not 1
novel 2
nutcracker 3
october 1
of 18
old 1
on 3
order 1
out 1
outcome 1
paint 1
painted 1
parallels 1
part 1
physique 1
place 3
playing 1
plays 1
pointlessness 1
poisoning 1
possible 1
protagonist 2
receives 1
reflected 1
required 2
returns 1
sacrifices 1
sarah 1
saturday 1
saved 1
saves 1
says 1
school 2
see 1
seem 1
sending 1
sends 1
sent 3
she 1
similar 1
so 1
soldier 1
soldiers 2
some 1
son 1
soon 1
spend 1
starts 1
stops 1
story 2
sulfur 1
support 1
take 1
takes 2
taking 1
teacher 2
tell 1
that 10
the 44
them 1
theme 1
there 1
they 1
think 1
this 2
through 2
throughout 1
thrown 1
time 1
to 18
together 1
told 2
toll 1
town 2
toy 1
toymaker 1
truce 1
turns 1
tutors 1
tuttle 1
two 1
ungrateful 1
until 1
valiant 1
war 10
weaponry 1
wednesday 1
when 3
where 1
whittled 1
who 1
why 1
wide 1
with 5
without 1
woolwich 1
work 1
world 3
years 1
