214133
/m/01fc9r
/m/01fc9r
Evelyn Waugh
1945
123 1
126 1
143 1
144 1
a 10
abandoned 1
aesthetic 1
after 3
aging 1
alcoholism 1
all 1
alone 1
also 3
although 1
always 1
an 4
ancestral 1
and 19
anglicanism 1
anthony 1
appalled 1
appeared 1
architectural 1
are 1
aristocratic 1
army 2
artist 1
as 4
assumed 1
at 4
away 1
back 1
be 1
because 1
become 1
becomes 1
been 4
befriended 1
bestknown 1
between 1
billeted 1
blanche 1
both 1
brideshead 6
bridey 1
builders 1
business 1
but 5
by 7
called 1
can 1
canada 1
canadian 1
cannot 1
career 1
catholicism 2
catholics 1
caused 1
changes 1
chapel 1
charity 1
charles 15
childless 1
children 1
christ 1
christianity 1
church 2
closed 1
cold 1
college 1
comic 1
concludes 1
content 1
conversations 2
convert 1
converted 1
cordelia 1
damaged 1
date 1
daughter 1
death 1
deathbed 1
decides 1
descends 1
die 1
disputed 1
divorce 1
divorced 1
drifting 2
drinking 1
during 1
each 1
early 1
eccentric 1
edward 1
efforts 2
eldest 2
ended 1
england 1
enter 1
enthusiastically 1
espoused 1
establishing 1
estate 1
estrangement 1
eve 1
even 1
eventually 2
extension 1
faith 2
family 4
father 2
fathers 1
finds 3
flees 1
flyte 1
focuses 1
for 2
forms 1
friends 1
from 4
frustrated 1
god 1
great 1
had 2
has 5
haughty 1
have 3
he 10
health 1
heir 1
her 4
hertford 1
him 2
himself 1
his 14
home 3
homeless 1
homosexual 1
house 2
however 1
ill 1
in 10
including 2
incurs 1
influences 1
initially 1
injury 1
into 2
introduces 1
is 6
it 1
italy 1
julia 7
lady 2
later 2
leads 1
left 1
lives 2
london 1
long 1
lord 7
loveless 1
man 2
marchmain 7
marchmains 2
marital 1
marriage 4
married 1
marries 1
marry 2
marrying 1
may 1
meets 1
merit 1
middleaged 1
military 1
minor 1
monastery 1
more 1
morocco 1
mother 1
mottram 1
moved 2
names 1
narrator 1
new 1
not 1
novel 1
object 1
occurs 1
of 14
offers 1
officer 1
on 3
or 2
order 1
other 1
out 1
over 1
own 1
ownership 1
oxford 1
palatial 1
period 1
plan 1
planning 1
plot 1
possibly 1
previous 1
private 1
prospectively 1
protagonist 1
provide 1
purposes 1
reception 1
relationship 1
religion 1
remainder 1
reopened 1
respective 1
rest 1
return 1
returns 2
rex 2
rich 1
roman 3
ruins 1
ryder 2
sacraments 1
scenes 1
sebastian 10
second 1
separated 1
she 2
sinful 1
sister 2
situation 1
so 2
solace 1
soldiers 1
some 2
son 3
sorrow 1
spend 1
spouses 1
spring 1
student 1
substance 1
surprises 1
taken 1
takes 1
terminally 1
that 3
the 34
their 3
there 1
they 1
this 1
though 1
time 1
to 22
together 1
towards 1
troubled 1
tunisian 1
turns 1
two 1
twoyear 1
undergraduate 1
underporter 1
unexpectedly 1
unfaithful 1
unsophisticated 1
up 1
use 1
vacation 2
vain 1
venice 1
war 1
well 1
were 1
where 3
which 5
who 2
widowed 1
wife 3
wiltshire 1
with 3
without 1
world 1
worship 1
young 1
younger 2
youngest 1
