31972907
/m/0gxz6b0
/m/0gxz6b0
Darren Shan


a 20
after 2
again 1
almost 1
along 1
american 1
amused 1
and 19
another 1
are 1
as 2
assistants 1
at 2
baby 3
bad 1
be 1
become 1
becomes 1
becoming 1
before 1
beginning 1
begins 1
being 1
best 1
better 1
blood 2
boat 5
book 2
but 3
by 3
cannibalized 1
cant 1
catching 1
chosen 1
civil 1
claiming 1
collect 1
conscience 1
consumes 1
contracted 1
corpse 1
could 2
council 1
couple 2
crepsley 1
crew 1
cubs 1
cut 1
death 1
did 1
discovers 1
disrespecting 1
does 2
doesnt 1
dominant 1
drunk 1
duel 1
duels 1
ends 2
evanna 5
everyone 1
eye 1
face 1
falls 1
feed 1
few 1
find 3
finishing 1
fleeing 1
for 2
four 1
from 1
general 1
generals 1
give 1
go 1
goes 1
grants 1
greenland 1
group 2
hanging 1
has 1
hater 1
he 17
helps 1
her 4
herself 1
him 5
himself 1
his 9
hopes 1
hosted 1
in 11
incident 1
inevitably 1
insists 1
is 4
job 1
jump 1
keeps 1
kept 1
kill 1
killed 1
kills 1
lady 1
large 1
larten 9
later 2
leave 1
leaves 1
life 1
like 1
make 1
malora 4
march 1
mate 1
meanwhile 1
meet 2
meets 1
member 1
month 1
more 2
mother 1
mountain 1
named 1
neck 1
new 1
night 1
nile 1
not 1
novel 1
now 1
observing 1
of 16
off 2
on 7
once 1
one 3
only 1
others 1
out 2
pack 1
part 5
people 2
permission 1
picks 1
previously 1
princes 1
proceeds 1
pursues 1
quartermaster 1
randel 1
realize 1
recovers 1
result 1
resulted 1
reveal 1
reveals 1
rows 1
sacrifices 1
search 1
seba 4
see 1
seeks 1
self 1
she 1
ship 2
shore 1
short 1
since 2
single 1
small 2
some 1
soon 2
species 1
starts 1
storeroom 1
sure 1
tags 1
than 1
that 4
the 25
them 2
then 3
they 2
three 1
thus 1
time 1
to 11
torn 1
training 2
traveling 1
travels 1
true 1
two 1
up 6
vampaneze 2
vampire 5
vampires 2
vancha 2
visiting 1
wants 2
war 2
wester 3
whenever 1
which 2
while 4
who 1
with 14
woman 1
world 1
would 1
years 1
zula 1
