4325294
/m/0bx7d_
/m/0bx7d_
Elizabeth Hand

a 1
about 2
across 1
after 1
anakin 3
and 2
another 1
as 1
attempts 1
barely 1
boba 8
but 2
card 1
chance 1
chancellor 1
count 1
decides 1
determined 1
dooku 1
escaping 1
escorted 1
escorts 1
eventually 1
exact 1
exchange 1
fails 1
father 1
fett 3
foe 1
for 4
freedom 1
from 1
general 1
grievous 1
he 2
helps 1
him 1
his 5
however 1
i 1
in 2
information 2
intervenes 1
is 2
it 2
jango 1
jedi 1
kill 2
life 1
mace 3
meeting 1
murder 1
of 1
off 1
offers 1
on 1
orders 1
palpatine 2
planet 1
play 1
questioning 1
repair 1
republic 1
revenge 1
runs 1
sees 1
several 1
skywalker 1
slave 1
spared 1
stop 1
take 1
temple 1
that 2
the 5
them 1
then 1
there 1
to 7
weapons 1
windu 1
with 3
wrath 1
