1844370
/m/060f6t
/m/060f6t
Heinrich Böll
1974
a 8
about 1
accomplice 1
according 1
after 2
also 1
amok 1
an 1
and 10
apartment 1
arranges 1
arrested 1
arrival 1
as 2
association 1
at 1
before 2
block 1
blorna 2
blornas 1
book 1
broke 1
by 1
calling 1
calls 1
case 1
city 1
communist 1
confesses 1
confessing 1
covered 1
day 1
days 1
dead 1
designers 1
details 1
die 2
dies 1
driving 1
effects 1
employers 1
escape 1
everything 1
exclusion 1
exhusband 1
family 1
fervent 1
few 1
for 2
four 1
friend 1
friends 2
from 2
germany 1
gtten 3
had 1
have 1
he 2
headquarters 1
helping 1
her 7
him 3
his 1
hospitalized 1
hours 1
house 1
in 2
including 1
interview 1
into 1
investigates 1
is 2
its 1
journalist 2
katharina 9
killing 1
lawyer 1
leads 1
life 1
ludwig 1
man 1
met 2
moeding 2
morning 1
mother 1
mr 1
mrs 1
named 1
newspaper 1
next 1
night 1
oberkommissar 1
of 5
on 3
one 1
paints 1
particular 1
party 2
picture 1
police 3
questioned 1
resides 1
run 1
sensationally 1
sex 1
she 3
shoots 1
society 1
spent 1
story 1
suggests 1
that 1
the 14
their 2
then 1
they 1
to 6
ttges 4
upon 1
visits 1
wanders 1
weiberfastnacht 1
where 2
whereupon 1
who 1
with 3
zeitung 2
