6899999
/m/0gw4yr
/m/0gw4yr
Carolyn Keene
1953
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0dwly": "Children's literature"}
a 5
about 1
aerialist 1
an 1
and 3
bracelet 2
charm 2
charms 1
circus 2
clues 1
daughter 1
discovers 1
ends 1
fascinating 1
given 1
golden 1
has 1
horse 3
is 3
its 1
joins 1
just 1
lead 1
learns 1
like 1
meets 1
missing 2
mother 1
mystery 1
nancy 4
of 2
one 2
out 1
reuniting 1
sets 1
she 3
significance 1
solve 1
story 1
the 6
to 3
uncover 1
unhappy 1
unusual 1
up 1
when 1
where 1
who 1
young 1
