8791568
/m/027jxhg
/m/027jxhg
Rudy Rucker
1988
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20302031 1
a 17
abbreviated 1
accelerated 1
accidentally 1
after 3
against 1
allan 1
allusions 1
an 5
and 8
anderson 2
announce 1
antibopper 1
arrange 1
artificial 2
as 6
assassinated 1
assassination 1
at 2
attempt 1
awry 1
been 2
before 1
being 1
belle 1
berenice 3
birth 1
body 2
book 2
bopper 3
boppers 4
both 1
boy 1
brain 1
but 1
by 1
called 3
can 1
carry 1
character 1
characters 1
chipmold 1
christ 1
christmas 1
coating 1
cobb 2
corporation 1
create 1
creates 1
days 1
della 1
destroyed 1
detective 1
disastrously 1
discovered 1
disease 1
dream 1
earth 2
earthbound 1
edgar 1
embryo 1
end 2
eve 1
events 1
exponential 1
few 1
flickercladding 1
focuses 1
for 4
force 1
formation 1
frames 1
fulfilling 1
genetically 2
gives 1
goes 1
grow 1
has 3
have 1
he 1
help 1
her 2
himself 1
his 5
historic 1
human 3
humans 1
hybrid 2
idea 1
imbued 1
implanted 1
implants 1
impregnates 1
in 12
infecting 1
infects 1
instance 1
intelligence 1
intelligent 1
is 5
isdn 1
it 3
kentucky 1
killing 2
kind 1
known 3
last 1
living 1
located 1
louisville 2
main 1
makes 1
manchile 4
matter 1
maturity 1
mdash 3
meatbop 1
meatbops 1
modified 1
moldies 1
moon 2
mooney 2
murder 1
named 2
new 3
niece 1
novel 1
now 2
occurs 1
of 14
off 1
offspring 1
on 4
onboard 1
only 1
organicsynthetic 1
organism 1
outer 1
pawn 1
plan 1
plastic 1
play 1
plot 1
poeobsessed 1
populate 1
portions 1
pregnancy 1
private 1
programmed 1
prominent 1
race 2
raise 1
rate 1
religion 1
retaliates 1
return 1
revealed 1
robot 1
robothuman 1
roles 1
rucker 1
schemes 1
set 1
setting 1
several 2
she 2
significance 1
similarly 1
smart 1
so 1
software 4
sperm 1
stahi 1
stahn 1
steamboat 1
steamer 1
story 1
succeeds 1
symbiotes 1
taze 2
ten 1
that 2
the 22
them 1
then 2
this 1
thus 1
to 11
toward 1
two 1
unifying 1
used 1
various 1
was 1
weeks 1
wetware 2
when 1
which 1
while 1
who 1
whose 1
wife 1
will 1
with 3
woman 1
women 1
working 1
years 1
