29090244
/m/0dlng52
/m/0dlng52

2006-07
{"/m/05hgj": "Novel"}
a 4
about 2
addiction 1
alive 1
all 1
alterego 1
an 2
and 7
andrea 1
arai 4
are 2
as 2
atas 1
attended 1
background 2
basically 1
became 1
belitung 1
big 1
brother 1
but 2
by 1
called 1
characters 1
childhood 1
conditions 1
days 1
discovered 1
distant 1
dream 1
dreamer 1
each 1
early 1
eastern 1
economic 1
ekolah 1
english 1
enthusiastic 1
equal 1
erotic 1
eventually 1
family 1
farewell 1
finally 1
first 1
fishing 1
foster 1
france 1
friendship 1
from 4
go 1
goal 1
he 3
high 4
hirata 1
horses 1
if 1
ikal 4
in 11
independently 1
intertwined 1
is 9
it 1
jakarta 1
jimbron 4
keramat 1
last 1
life 1
lives 1
living 1
love 1
main 1
makes 1
manggar 2
means 2
meet 1
member 1
menengah 1
morning 1
mornings 1
movies 1
name 1
negeri 1
nervous 1
obsessed 1
of 10
or 1
orphan 2
other 1
parents 1
poor 1
port 1
relative 1
religious 1
school 6
schools 1
separate 1
separately 1
simpai 1
simply 1
sma 2
something 1
state 1
still 2
story 2
study 1
stutter 1
teacher 1
that 2
the 16
theaters 1
their 4
them 1
they 1
three 2
to 3
until 1
viewed 1
when 2
while 1
who 3
will 2
with 4
worked 1
worker 1
