13264667
/m/03b_sbb
/m/03b_sbb


{"/m/08sdrw": "Adventure novel"}
a 1
adventurer 1
and 2
aurore 1
by 1
chevalier 1
come 2
dashing 1
daughter 2
de 6
describes 1
dont 1
duc 2
exile 1
first 1
flor 1
fortune 1
friends 1
girl 1
given 1
gonzague 3
gypsy 1
has 1
henri 1
her 1
if 1
in 2
ira 1
is 1
lagardre 7
largardre 1
le 2
makes 1
murder 1
murders 1
named 1
ne 1
nevers 3
oath 1
of 1
over 1
parisien 1
pas 1
petit 1
plotted 1
prince 3
raises 1
rescues 1
second 1
seize 1
she 1
si 1
such 1
the 11
to 4
toi 1
triumph 1
tu 1
viens 1
volume 2
where 1
who 1
wicked 1
will 1
with 1
you 2
