6041679
/m/06c0hr0
/m/06c0hr0
James Jacobs
2006-02
{"/m/06c9r": "Role-playing game"}
a 3
adventurers 1
an 1
and 4
are 1
azarr 1
battle 1
by 1
charismatic 1
dark 1
defeat 1
devoted 1
doom 1
dragons 1
elsir 1
enemy 1
entered 1
fanatically 1
follows 1
frontier 1
giants 1
goddess 1
group 1
halfdragon 1
hand 1
have 2
hobgoblin 1
hobgoblins 1
horde 2
in 1
inhabitants 1
is 1
kul 1
led 1
massive 1
muster 1
of 5
overwhelming 1
party 1
placed 1
players 1
plot 1
populated 1
position 1
red 1
region 1
stop 1
stopping 1
the 10
then 1
thinly 1
tiamat 1
to 3
uncovers 1
vale 2
warlord 1
who 2
