712274
/m/034yth
/m/034yth
Terry Pratchett
2004
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 23
accept 1
accepts 1
activist 1
adora 1
after 1
again 1
against 2
aged 1
also 1
amongst 1
an 1
and 14
ankhmorpork 2
arrested 1
artist 1
as 5
assassin 1
assistant 1
at 2
attack 1
attempt 1
attempts 1
away 1
banshee 2
based 1
be 1
because 1
become 1
before 1
begin 1
belle 1
board 2
book 1
brought 1
building 4
burn 1
but 2
by 4
can 2
chainsmoking 1
chairman 2
choice 1
choices 1
choose 1
circumstances 1
city 2
citystate 1
clacks 6
clackscrackers 1
company 3
competing 1
con 1
concealed 1
confronting 1
considerably 1
contacts 1
control 1
crimes 1
cunning 1
daughter 1
dearheart 3
death 2
decades 1
deliver 2
despite 1
destroy 1
dies 1
discovers 2
discworld 2
door 3
down 2
drop 1
dung 1
each 1
employees 1
end 1
ends 1
equivalent 1
escape 1
especially 1
executives 1
exiting 1
fails 1
faked 1
falls 1
faster 1
fatal 1
father 1
few 1
financial 1
finds 2
flipped 1
for 3
founder 1
founders 1
from 2
full 2
functioned 1
genua 1
gets 1
gilt 3
gnu 2
golem 1
golemrights 1
golems 1
gone 1
grand 4
groat 1
group 1
gryle 1
had 1
halting 1
hanged 1
has 4
have 2
havelock 1
he 9
headway 1
hear 1
her 1
himself 2
hires 1
his 6
historical 1
holding 1
howler 1
in 6
inside 1
into 2
introduces 1
is 7
it 2
its 2
job 4
junior 1
killer 1
known 1
last 1
layer 1
leaving 1
led 1
life 1
like 1
line 1
lipwig 4
london 1
love 1
machine 1
machinery 1
mail 3
make 1
makes 1
manages 1
maneuvering 1
manipulative 1
many 1
may 2
meanwhile 1
meeting 1
meets 1
message 2
metropolises 1
modern 1
moist 7
moment 1
months 1
more 1
most 1
mr 2
much 1
nearly 1
never 1
new 1
not 1
notes 1
novels 1
number 1
of 21
offer 1
offered 1
office 4
officer 1
on 5
only 2
onto 1
operates 1
operators 1
opts 1
or 3
other 2
out 3
outrageous 1
own 1
owns 1
parole 1
patrician 2
pigeon 1
place 1
plan 2
poke 1
post 3
postage 1
postal 1
postman 1
postmaster 2
powerful 1
predeceased 1
predecessors 1
presents 1
protagonist 1
psychological 1
pump 1
quality 1
question 1
race 1
reacher 2
relationship 1
remain 1
result 1
revitalize 1
robert 1
room 1
rundown 1
saved 1
scaffold 1
semaphore 1
send 1
service 3
sets 2
settings 1
she 1
since 1
skilled 1
smoking 1
soon 1
sorting 1
spacewarping 1
stamps 1
standing 1
stanley 1
still 1
story 2
succeeds 1
suffocated 1
system 2
taken 3
takes 1
taking 1
talks 1
telegraph 1
than 1
that 8
the 53
then 1
they 1
this 2
though 1
through 1
thwarted 1
to 13
tolliver 1
tough 1
towers 2
tricky 1
trunk 4
turns 1
two 3
undelivered 1
under 1
unnerving 1
unscrupulous 1
unusual 1
up 2
useful 1
various 1
very 1
vetinari 5
visual 1
von 1
wager 1
walk 1
walking 1
was 2
weeks 1
when 1
who 2
will 2
with 5
within 1
york 1
