29991403
/m/0fqns35
/m/0fqns35
Rosemary Sutcliff

a 3
albeit 1
alongside 1
and 8
are 1
arrival 1
arthur 5
arthurian 2
as 7
ascension 1
assistance 1
at 2
background 1
be 1
beaumains 1
beginning 1
begot 1
behind 1
being 3
beyond 1
book 1
britain 2
broken 1
brother 1
but 2
by 1
camlann 1
chapters 2
characters 1
classic 1
commonly 1
connected 1
continued 1
court 2
cover 1
covering 1
dark 1
depicted 1
descended 1
development 1
did 1
different 2
downfall 1
driving 1
earlier 1
ector 1
elainesir 1
encounters 1
enid 1
excalibur 1
exploits 1
feature 1
finally 1
first 1
five 1
force 1
forest 1
foster 1
from 3
gawain 2
geraint 1
great 1
green 1
he 4
here 2
his 3
identical 1
identity 1
igraine 1
in 4
including 1
inhabitants 1
into 1
is 6
iseult 1
kay 1
king 2
kitchen 1
knight 2
knights 1
lady 3
lake 2
lancelot 1
later 1
light 1
little 1
loathly 1
lordly 1
many 1
merlin 4
much 1
name 1
nearly 2
not 1
novel 3
of 15
ones 1
or 1
orchestrates 1
original 1
origins 1
other 1
pendragon 1
people 1
percival 1
possible 1
presage 1
previous 2
prophecies 1
pulls 1
receives 1
refers 1
remaining 1
rest 1
retelling 1
revealed 1
road 1
round 1
ruler 1
same 1
shorter 1
shown 2
sir 2
son 1
standalone 1
stone 1
stops 1
stories 2
sunset 1
sutcliff 3
sword 3
table 1
tales 1
the 32
thirteen 1
to 5
tristan 1
under 1
upbringing 1
upon 1
uther 1
version 1
well 1
when 1
which 1
while 1
with 3
