3290819
/m/093ngy
/m/093ngy
Samit Basu
2005
a 17
able 1
about 3
aciram 3
across 1
acsension 1
activate 1
actually 1
advice 1
after 1
again 1
against 2
agrees 1
alivebehrim 1
all 2
along 2
also 1
alter 1
although 2
amulet 1
an 2
and 32
anything 1
apparently 1
appears 2
ararthogorn 1
arathognan 1
are 6
armed 1
armor 1
arrival 1
arrive 2
arrives 1
as 8
aspired 1
asroye 1
assassinate 2
asvin 6
at 4
attack 2
attacked 1
attempt 1
back 1
barbarian 1
barely 1
battle 3
be 7
because 1
become 1
been 2
begins 1
behind 1
behrim 7
being 1
believes 1
best 1
black 2
blood 1
blur 1
bolt 1
book 1
both 1
but 9
by 11
call 1
called 3
catches 1
caught 2
challenges 1
champions 1
changes 1
children 1
come 1
comes 1
constructed 1
continued 1
convinces 1
could 1
council 4
councilshe 1
cousin 1
created 1
creatures 2
credited 1
cut 1
dagger 5
dangerous 3
danh 1
danhgem 1
dark 9
decides 1
declares 1
defeated 1
descendant 1
deserted 1
desolate 1
destiny 1
detected 1
devoured 1
distraction 1
djongli 1
doubts 1
down 2
dragon 1
dragons 1
duel 8
eager 1
earlier 1
earth 1
easily 1
eat 2
efforts 1
ego 1
emerges 1
enabled 1
encounter 1
encounters 1
enough 1
epsai 1
escape 3
escapehowever 1
escapes 1
even 1
evil 1
existence 1
experience 1
face 1
facing 1
fact 1
fallen 1
falls 1
fat 2
feel 1
fight 1
figure 1
finally 2
find 1
finds 1
firebird 1
flatly 1
foes 1
follow 1
followed 1
for 3
forest 3
formed 1
former 1
four 1
friend 1
frog 1
from 4
gard 1
gashes 1
gem 1
get 1
getting 2
girl 2
give 1
glass 1
go 1
gods 1
goes 1
great 2
greatest 1
grows 1
guarded 1
guided 1
guilds 1
guise 1
had 7
hand 1
hands 1
harmless 2
has 2
have 2
having 1
he 20
head 2
healed 1
heart 1
help 2
her 14
here 1
hero 2
heroes 1
him 8
himself 1
his 12
history 1
hordes 1
hours 1
however 4
humanity 1
humans 1
ignoring 1
in 24
infiltrate 1
infiltrated 1
inform 1
initially 3
intending 1
intention 1
interested 1
into 4
is 20
issuing 1
it 9
its 1
izakar 1
jaykinis 1
keeps 1
kidnapping 1
kill 4
kills 3
kin 1
king 1
kings 1
kirin 25
knights 1
knowing 1
kol 8
labour 1
labyrinth 2
lady 1
lasted 1
later 1
leader 1
learn 1
leaves 3
lightning 1
little 2
lord 8
lost 1
love 2
loved 1
loyal 1
mad 1
make 2
manage 1
managed 2
manages 1
manticore 3
many 2
marginal 1
may 1
maya 8
meanwhile 5
meets 1
men 1
menwhom 1
mind 2
mindcontrolling 1
minotaurs 1
mirrors 1
momentary 1
monsters 1
more 1
most 1
myrdak 15
mysterious 1
name 1
named 2
nasud 1
nearly 1
never 1
newly 1
night 1
nipped 1
no 2
noble 1
not 3
notices 1
now 3
numbers 1
nundu 1
obiyalis 1
of 44
off 1
on 4
one 4
only 3
open 2
or 1
orders 1
out 3
outpost 1
over 1
own 1
palace 1
part 1
peace 1
peculiar 1
peori 7
place 1
plan 1
play 1
playing 1
pleas 1
points 1
portal 2
powers 2
prepare 1
probably 1
promptly 1
prophecy 1
proved 1
pushes 1
qianzaimother 1
rainbow 2
raises 1
rakshas 1
rakshases 3
rather 1
ravian 6
ravians 10
real 1
realized 1
realizes 1
rebel 1
recaptures 1
red 4
rescue 1
response 1
resulted 1
return 4
returned 1
revealed 3
reveals 1
rid 1
rose 1
rukmini 2
ruled 1
runs 1
save 1
saved 1
scores 1
secret 1
seek 1
seeks 1
seems 1
settle 1
seven 1
shadowknife 1
shapeshifter 2
shapeshifters 3
she 9
shelter 1
shocked 1
showing 1
silver 1
simoqin 2
small 1
so 1
society 1
some 5
son 1
soon 1
soshe 1
splintered 1
star 1
starred 1
state 1
states 1
steelbunz 1
still 1
stop 1
strife 1
strike 2
successfully 1
suggests 1
sure 1
suspected 1
sword 2
take 1
takes 2
talk 1
task 1
tells 4
temat 1
temple 2
than 1
that 15
the 91
their 2
them 4
then 4
there 1
these 5
they 7
third 1
this 5
thog 3
though 1
threaten 1
three 1
throne 1
throw 1
time 1
tired 2
to 50
told 1
tower 2
traitors 2
trance 2
tries 1
trouble 1
true 1
trying 1
turn 1
turned 2
two 1
underestimates 1
union 1
unwaba 1
up 2
upon 1
upper 1
using 1
vamans 2
vanarpuri 1
ventelot 1
very 1
villain 1
visits 1
voices 1
vrihataranya 1
wake 1
want 1
wanted 1
war 1
warns 1
warrior 1
was 10
watch 1
way 1
were 1
werewolves 1
when 2
where 3
which 4
while 1
whirled 1
who 10
whose 1
wins 1
with 15
within 1
world 6
would 4
yet 1
