1770277
/m/05vm0x
/m/05vm0x
Melanie Rawn
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
adopted 1
after 1
all 1
also 1
always 1
and 12
andrade 1
as 2
at 2
attended 1
aunt 1
awhile 1
babe 1
be 1
became 1
before 1
believed 1
between 1
bride 1
burned 1
but 2
by 1
came 1
captured 2
castle 1
child 2
chosen 2
colors 1
come 2
conceived 1
convincing 1
cool 1
could 1
course 1
dangerous 1
daughter 1
daughters 1
desert 2
determined 1
died 1
dinners 1
discovered 1
drugged 1
duel 1
dungeon 1
during 1
ending 1
enraged 1
erupts 1
eventually 1
except 1
father 1
feruche 2
fiercely 1
first 1
for 1
form 1
from 1
furious 1
get 2
got 1
groundnbsp 1
hard 1
harsh 1
have 2
he 7
head 1
help 1
her 2
high 2
him 7
his 7
however 1
ianthe 6
ignorant 1
in 7
inherited 1
is 3
it 3
just 2
keep 1
killed 1
knew 1
lady 1
lands 2
let 1
lightless 1
locked 1
maintain 1
man 1
managed 1
many 1
marrying 1
means 1
must 2
naming 1
newly 1
no 1
not 1
of 8
off 1
old 1
one 3
order 1
ostvel 1
other 1
outwit 1
peace 1
pol 1
pretended 1
prince 4
princes 2
protect 1
quest 1
rape 1
returned 1
revealed 1
revenge 1
roelstra 7
rohan 13
scheming 1
seduced 1
sent 1
seventeen 1
she 3
showed 1
sioned 7
soldiers 1
some 1
star 1
statecrafter 1
stead 1
stole 1
stupid 1
sunrunner 1
that 5
the 16
they 1
this 2
thought 1
throne 1
through 1
throughout 1
times 2
to 12
tongue 1
took 1
true 1
truth 1
ultimately 1
until 2
vassal 1
vast 1
wanted 2
war 2
was 5
what 1
when 2
which 1
witch 1
with 2
world 1
young 1
