1378645
/m/04xzq1
/m/04xzq1
Lincoln Child
2002
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
130 1
20th 1
36 1
a 18
about 2
achieve 1
activities 1
adventure 1
afraid 1
after 2
against 1
agent 3
ago 1
aiding 1
aka 1
all 1
aloysius 1
american 1
an 4
and 20
anthony 3
antoine 1
anything 1
apartments 1
appear 1
appears 1
archeologist 2
archeologists 1
are 1
arrives 1
article 3
as 4
assistance 1
at 4
attempt 1
away 1
back 1
bad 1
basement 2
be 1
becomes 2
been 1
before 2
begins 1
behind 1
being 1
bodice 1
bodies 2
boon 1
boyfriend 1
brisbane 1
brutal 1
brutality 1
budget 1
build 1
buried 2
burns 1
but 2
by 7
c 1
cabinet 1
campaign 1
can 1
century 2
chagrin 1
city 2
closer 1
clue 1
columns 1
committed 1
complicated 1
connection 1
consecutive 1
construction 2
containing 1
continue 2
continuing 1
contrary 1
contributor 1
convinces 1
copycat 3
created 1
crimes 1
curiosity 1
cursory 1
curtail 1
cuts 1
dead 1
degli 1
department 2
desire 1
despite 1
determined 1
development 1
dies 1
director 1
discarded 1
discover 1
discovered 1
discoveries 1
discovers 1
discovery 1
disease 1
do 1
does 1
dr 2
dress 1
drive 1
each 1
effort 1
efforts 1
election 1
elixir 1
enabling 1
enoch 2
entrepreneur 1
eradication 1
especially 2
ever 2
every 1
evidence 1
exert 1
fairhaven 6
fairhavens 1
family 1
fbi 2
featured 1
feels 1
feverish 1
first 1
following 1
for 2
forces 1
formula 3
frustrated 1
further 1
glass 1
greatgrand 1
greene 2
gruesome 2
harder 1
has 4
have 1
he 4
help 3
helpful 1
her 6
hidden 1
highly 1
him 5
himself 1
hints 1
hired 1
his 8
history 1
hopes 1
horrific 1
iii 1
important 1
in 11
into 2
introduces 1
investigation 5
involvement 1
is 13
it 3
itla 1
its 1
job 1
kelly 7
killed 2
killer 4
l 1
large 1
late 1
leng 6
liaison 1
life 4
longburied 1
longer 1
look 1
losing 1
make 2
man 1
manhattan 1
mankind 1
manner 1
mansion 1
mary 2
mayor 2
means 1
moving 1
much 1
murder 1
murderer 1
murderous 1
murders 3
murphy 1
museum 6
must 1
name 1
natural 1
needed 1
new 3
newspaper 1
no 1
nora 7
not 2
note 2
novels 1
now 1
obsession 1
of 18
officer 1
ohaughnessy 2
old 1
on 1
opposing 1
orrori 1
out 1
over 1
own 1
owner 2
painstakinglywritten 1
parts 1
patrick 1
pendegrast 1
pendergast 13
people 1
person 1
personal 1
points 1
police 2
politics 1
powerless 1
produce 1
prolong 2
prolonging 1
property 1
publicity 1
published 1
quickly 1
reasons 1
recently 1
refuses 1
removed 1
research 1
reservations 1
resourceful 1
revealed 2
revealing 1
reveals 1
riverside 1
roger 1
same 1
secret 2
secretive 1
sensation 1
serial 1
sewn 1
she 2
since 1
site 3
smithback 2
so 1
some 1
someone 1
something 1
soon 1
special 2
spinal 1
spine 1
spite 2
stanza 1
startling 1
starts 1
stole 1
stop 3
story 1
strangely 1
stream 1
stretch 1
string 1
succeeds 1
successful 1
supplies 1
survives 1
take 1
taken 1
that 3
the 46
their 2
them 1
they 1
though 1
through 1
thwart 1
to 24
too 1
tortured 1
towards 1
tower 1
tracked 1
trail 1
tries 1
truth 1
tunnel 1
uncle 1
uncover 1
uncovers 1
until 1
uses 1
vice 1
victim 1
victims 1
way 1
wealthy 1
were 1
when 1
which 2
while 1
who 3
william 1
wishes 1
with 4
without 1
would 1
writing 1
written 1
x 1
years 1
york 2
young 1
