23573940
/m/06wcfgl
/m/06wcfgl
Larry Doyle
2007
{"/m/02yq81": "Comic novel"}
10 1
40 1
a 24
about 3
accompany 1
act 2
administer 1
admit 1
admits 1
admittance 1
after 10
again 3
air 1
all 2
alone 1
always 1
an 3
and 49
anything 1
anyway 1
apart 1
are 7
army 2
around 1
arrive 1
arrives 1
as 4
assaulted 1
at 9
attempt 1
attempting 1
attends 1
available 1
away 1
awkward 1
back 2
be 7
beat 2
beating 2
because 2
become 1
before 4
behind 1
being 4
belonging 1
best 1
beth 26
better 1
bit 2
bleed 1
bleeding 1
blue 1
boat 2
boyfriend 1
boys 1
breaks 1
bring 1
brutal 1
buddies 1
bully 1
but 7
by 5
bystander 1
cabin 2
called 1
came 1
cammy 8
can 1
car 6
champion 1
charge 1
charging 1
cheer 1
cheerleader 1
class 2
college 1
conclusion 1
condom 1
confronted 2
continues 1
converse 1
cooper 1
cooverman 1
courage 1
cow 1
cpr 1
crash 1
crashes 1
crush 1
dad 1
decide 1
decided 1
decides 1
declaration 1
denis 39
deny 1
didnt 1
disappointed 1
do 2
does 1
dont 1
dorm 1
down 1
dream 1
drink 3
drive 1
driven 1
dropped 1
dumb 1
during 1
duty 1
each 2
eaten 1
either 1
empty 1
enter 2
entire 2
entranced 1
escapes 2
escaping 1
evening 1
eventually 1
everyone 1
exactly 1
except 1
fact 3
fail 1
falls 1
fantasy 1
far 1
fashion 1
fat 2
father 5
fearing 1
feeling 1
fell 1
fight 1
fighting 1
find 1
finds 1
flies 1
floor 1
follow 1
for 7
forces 2
forgoes 1
freshman 1
friend 1
friends 2
from 1
front 1
functioning 1
funny 1
futures 1
gained 1
gang 3
gay 5
get 5
gets 1
getting 1
girl 6
girls 4
gives 2
giving 1
glaring 1
go 2
goes 3
going 2
good 1
grabs 1
graduation 1
grew 1
group 6
gymnasium 1
had 3
happens 1
has 5
have 2
having 2
he 18
head 1
heads 2
help 1
her 5
high 4
him 11
his 23
hits 1
holds 1
holey 1
home 3
homosexual 1
house 6
however 2
humiliating 1
humvee 1
if 2
imagined 1
immediately 1
imperfections 1
imply 1
in 17
inches 1
including 1
inform 1
intends 1
into 3
invite 1
involving 1
is 15
isnt 2
it 12
itself 1
jumps 1
just 2
kevin 15
kill 1
kitchen 1
knocking 1
known 1
lake 1
later 1
leading 1
learned 1
leave 1
leaving 1
lends 1
life 1
like 1
lucky 1
macked 1
made 1
majors 1
make 1
many 1
marry 1
meaning 1
meant 1
meeting 1
members 1
mention 1
middle 1
might 2
miserably 1
mishaps 1
mom 1
moment 1
moon 1
more 2
most 1
mostly 1
mother 2
moviequoting 1
much 3
mud 1
named 1
near 1
next 2
night 1
no 1
nose 1
nostrils 1
not 4
novel 1
nowhere 1
oar 1
of 9
off 10
old 1
on 3
once 2
one 1
only 2
opportunities 1
original 1
other 2
out 10
outcasts 1
over 3
pair 1
pants 1
parents 3
party 9
perfect 1
plan 1
plans 1
playing 1
police 3
poncho 1
pounding 1
pounds 1
prepares 1
pretty 2
proceed 2
proceeds 1
promises 1
puddle 1
pulls 1
punished 1
raccoons 1
real 1
realizing 1
recovers 1
rescues 1
resigned 1
retrieval 1
returns 1
reunion 1
revealed 2
revealing 2
reveals 2
rich 16
rifle 2
road 1
roles 1
row 1
same 1
sat 1
scary 1
school 5
see 1
sees 1
seven 1
several 1
sex 4
shallow 2
share 3
shatter 1
she 4
shirt 4
shore 1
shouldnt 1
show 2
shower 1
showers 2
shows 3
similar 1
singles 1
six 1
smells 1
smoke 1
so 3
social 1
soldier 1
some 1
song 1
speech 3
states 1
stealing 1
stereotypes 1
stick 1
stop 2
story 1
subdues 1
summer 3
sweet 1
swimmer 1
take 1
taken 1
takes 1
taking 1
talk 2
tampons 1
teenagers 1
tell 1
tells 4
test 1
that 19
the 65
their 7
them 1
then 8
there 1
they 21
thing 1
things 1
thinks 2
this 2
thrash 1
threatens 1
three 1
throughout 1
tiny 1
tip 1
to 48
tobacco 1
too 1
towels 1
trashed 1
travel 1
treece 10
tried 1
trinity 3
try 1
two 1
ugly 1
unconscious 1
underwear 2
uninvited 1
up 7
upsets 1
used 1
using 1
valedictorian 1
valli 1
waiting 1
was 5
watch 1
way 1
week 1
were 2
wet 1
what 1
when 2
where 6
which 3
who 3
whole 1
why 1
will 1
window 2
with 11
wooly 1
worse 1
worth 1
would 1
year 2
years 1
yet 1
