95531
/m/0nmns
/m/0nmns
Chuck Palahniuk
1999-02
{"/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/0vgkd": "Black comedy", "/m/0xdf": "Autobiography", "/m/0c3351": "Suspense"}
2724 1
747400 1
a 61
about 5
abruptly 1
abusing 1
according 1
across 1
act 2
action 1
actually 4
adam 21
adding 1
addition 1
adjacent 1
after 7
afterwards 1
again 3
agency 1
agent 9
agents 1
agreeable 1
agreed 1
agrees 4
airbags 1
airport 2
all 10
alone 1
along 1
aloud 1
already 2
also 1
although 1
america 1
ammonia 1
an 9
and 74
angry 1
another 4
answer 1
answering 1
any 3
apartment 1
appears 1
are 14
around 1
arrest 2
as 31
asks 6
assignment 1
at 20
attached 1
attracted 1
attractiveness 1
audience 1
australia 1
australian 1
author 1
autobiography 1
available 1
away 3
back 3
baptized 1
barren 1
bathroom 1
be 10
beat 1
because 3
become 1
bedroom 1
been 6
before 1
begin 1
beginning 1
begins 7
behind 1
being 1
belief 1
believed 1
believes 1
biddable 1
biddy 2
big 1
births 1
black 1
board 2
body 1
boeing 1
bolster 1
book 2
both 2
bowl 3
box 1
brainwashing 1
branson 3
brother 5
brothers 3
buried 1
burnt 1
bus 3
but 12
by 8
call 3
called 4
calls 9
can 5
canada 1
cant 3
caps 1
car 2
cardinals 1
care 1
case 1
cases 1
caseworker 7
castration 1
catch 1
causes 1
celebrity 1
chaos 1
chase 1
chemical 1
children 3
chlorine 1
chuck 1
church 9
circumstances 1
claims 1
clean 1
cleaning 2
clear 1
clothing 1
cockpit 1
coincidentally 1
colts 1
come 2
comes 4
coming 1
commercial 1
commits 1
common 2
community 4
company 1
completely 1
conceive 1
concrete 1
condition 1
confession 1
confirms 1
confront 1
considered 1
constantly 1
containing 1
continually 1
continue 1
control 1
conversion 1
core 1
country 1
county 1
couple 2
couples 1
course 1
crash 2
crashes 3
create 1
creedish 20
cremated 1
crew 1
crisis 5
criteria 1
crowd 1
cult 5
cults 1
cure 1
daily 1
dance 1
dancing 1
dashboard 1
date 2
dawns 1
day 3
dead 2
death 1
decade 1
decided 1
decides 1
deep 1
definitive 1
deliverance 2
denies 2
denote 1
department 1
deploy 1
describes 1
desires 1
desperately 1
details 1
die 1
dies 3
diet 1
dingy 1
directions 1
disasters 1
discouraged 1
disfigure 1
distract 1
divine 1
do 2
doctrine 1
does 3
doesnt 2
doings 1
down 1
downtown 1
dreaming 1
dreamt 1
dress 1
drifting 1
drive 1
during 2
dwindle 1
easier 1
easy 1
elaborate 1
eldest 1
employer 1
employers 2
encourage 1
ends 1
engaged 1
enjoying 1
enormous 1
enough 2
entire 1
entirely 1
erupts 1
escape 3
escapes 1
essence 1
etiquette 2
evasion 1
even 2
event 1
events 1
eventually 1
every 2
everything 1
except 1
exercise 1
exhomosexual 1
exit 1
expected 3
explain 1
explains 2
explanation 1
extensively 1
extremely 1
eye 1
facile 1
fail 1
faith 1
fake 5
fame 3
famous 1
fanatical 1
fans 1
fbi 2
fear 1
fearing 1
fears 1
federal 1
female 1
fertility 29
few 1
fiftyseven 1
figure 1
figurine 3
files 1
finally 1
find 3
finds 2
fire 1
fireplace 1
fires 1
firstborn 3
fliers 1
flight 1
flowers 3
following 2
food 1
football 1
for 27
forbidden 1
forcing 1
foretold 1
former 2
from 13
frustrated 1
fun 1
further 1
future 1
garden 2
get 2
gets 3
giant 1
given 2
gives 2
go 3
goes 4
going 1
got 1
government 1
greater 1
growing 1
grows 2
guest 1
gun 2
guy 1
gwen 1
had 4
halftime 1
hand 1
hangs 1
happened 1
happens 2
harm 1
has 13
have 6
having 3
he 49
heading 1
health 1
hear 1
hearing 1
help 2
helping 1
her 13
highly 1
hijack 1
hijacked 1
hijacker 2
hijacking 1
him 28
himself 4
his 25
history 1
hit 1
hitching 1
hollis 1
home 1
hotline 6
house 3
housecleaning 1
housekeeper 1
houses 1
how 5
however 2
httpwwwchuckpalahniuknetbookssurvivorendingsurvivor 1
humble 1
hundred 1
identify 1
ie 3
if 5
immediately 2
in 31
incessantly 1
inches 1
incident 1
include 1
including 1
income 1
incomplete 1
injections 1
inmates 1
innocence 1
inside 1
intended 1
intending 1
intentionally 1
into 10
is 38
issue 2
it 25
its 1
jail 1
job 5
joke 1
joker 3
jokes 2
journalists 1
journey 2
judgment 1
just 1
keep 1
keeping 1
keeps 2
kill 8
killed 1
killing 1
kind 1
knows 5
labor 2
laid 1
land 1
landfill 4
last 3
late 1
later 2
latter 1
laughs 1
leader 1
leaders 2
leading 1
leaked 1
learns 1
leaves 2
left 1
lessons 1
letter 1
life 2
like 4
likewise 1
line 1
little 1
live 1
lives 1
living 1
located 1
location 1
long 2
look 1
loses 1
lost 1
lot 1
lover 1
made 2
make 4
makes 1
making 1
male 1
man 8
manages 1
many 2
married 1
marry 1
masked 1
mass 4
materials 2
mausoleum 5
mcdonald 1
meant 1
meanwhile 1
meet 3
meeting 4
meets 1
member 4
members 2
memory 1
men 1
menial 1
mental 1
mentioning 1
mentions 1
mercy 1
met 1
middle 2
midsentence 1
miracle 2
miraculous 1
misprint 1
missionaries 1
mixed 1
mobbing 1
model 1
moment 1
money 2
month 1
more 4
morning 1
mother 1
move 1
murder 1
murderer 1
murders 3
mysterious 1
name 3
nationwide 1
naturally 1
nebraska 2
needs 1
never 1
new 1
news 2
newspaper 2
next 3
night 3
nightmares 1
no 2
north 1
not 3
number 3
obituary 1
obsessed 1
of 42
off 1
official 1
often 1
on 20
one 10
only 6
opportune 1
or 4
order 2
oregon 2
other 4
out 9
outback 1
outdated 1
outside 1
over 4
overhaul 1
palahniuk 1
pants 1
paper 1
parking 1
part 1
particular 1
passenger 1
passengers 1
passing 1
past 1
pastime 1
pattern 1
people 2
perform 1
person 1
phone 8
photos 1
place 2
plan 1
plane 7
planner 2
planning 1
plans 5
planting 2
pleading 1
plot 1
point 3
pointed 1
police 5
popularity 1
porn 1
pour 1
prayer 1
prediction 3
predicts 1
pregnant 1
prepared 1
presciently 1
pretty 1
prevention 1
previously 2
printed 1
prints 2
prior 1
procreation 1
program 1
proportions 1
prostitution 1
pseudonym 1
psychic 2
publication 1
pulls 1
purportedly 1
put 1
puts 1
pylon 1
quick 1
quickly 1
reach 1
reads 2
real 3
realized 1
realizes 3
really 3
receives 1
receiving 1
recognizable 1
recognizes 3
record 1
recounting 1
recounts 1
refuses 1
regularly 1
reject 1
released 1
religious 2
reluctantly 1
remaining 2
remains 1
remember 2
reminded 1
repository 1
reside 1
resists 1
rest 1
result 1
retention 1
retraction 1
returns 1
revealed 1
revealing 1
reveals 2
rich 1
ride 1
rides 1
rises 1
road 1
rock 2
ronald 1
