28551496
/m/0czc3fc
/m/0czc3fc
Robert Asprin
1992-02
50 1
a 2
able 1
actions 1
actors 3
all 2
and 7
arrival 1
attack 1
backup 1
bankrupt 1
beats 1
begins 1
book 1
boss 1
by 2
casino 5
casinos 1
chance 1
chocolate 1
communicators 2
company 4
contracted 1
controlling 1
cover 1
crime 3
defend 1
developed 1
distinctive 1
failed 1
fat 1
foils 1
forcing 1
from 2
frustrated 1
gain 2
giving 1
hand 1
harry 1
has 1
he 1
her 2
him 1
his 2
home 1
however 1
in 5
intelligence 2
interest 1
is 2
kidnap 1
kidnapping 1
knowledge 1
leader 2
learn 1
legionnaires 2
lorelei 1
lost 1
many 1
maxine 5
mob 3
noticing 1
of 6
omega 3
on 1
operate 1
order 2
orders 1
organized 1
over 2
ownership 1
partial 1
permission 1
phule 5
plan 1
plans 1
possession 1
prior 1
ransom 1
receive 1
report 1
rescuing 1
resort 1
resourceful 1
results 1
retaliation 1
retrieves 1
schemes 1
security 1
sergeant 1
share 1
space 2
splits 1
station 2
supplements 1
supply 1
syndicate 1
take 1
thanks 1
that 1
the 24
their 1
them 1
they 1
this 1
thug 1
thugs 1
thwart 1
to 12
trains 1
troops 1
two 1
under 1
unit 1
up 1
upon 2
when 1
whole 1
with 3
wrist 1
