9596748
/m/02pl9lx
/m/02pl9lx
Chris D'Lacey
2001
a 14
about 3
after 1
almost 1
along 2
also 1
an 2
and 12
animal 2
another 1
are 2
as 3
be 1
been 1
begins 1
birthday 1
book 1
bring 1
brings 1
but 3
by 1
called 1
catch 2
change 1
clay 1
clues 1
coincidence 1
college 1
comes 1
comforted 1
conker 6
could 1
crafts 1
creates 1
crescent 1
daughter 1
david 14
day 1
death 1
declining 1
depicting 1
descendants 1
die 1
died 1
dies 1
diminishing 1
does 1
dragon 6
dragons 3
earning 1
earns 1
earth 1
eleven 1
elizabeth 1
eventually 2
eye 2
failure 1
finds 2
finishes 1
fire 2
for 3
forever 2
free 1
from 2
funny 1
gadzooks 1
gardens 1
gawain 2
girl 2
give 1
gives 1
gladly 1
goes 1
greater 1
grey 1
guinevere 1
halfblind 1
happens 1
happy 1
has 2
have 1
he 4
head 1
heals 1
hearing 1
heart 1
help 2
her 4
him 1
his 9
house 3
immediately 1
in 6
into 1
is 3
it 2
kidney 1
know 1
last 1
later 1
let 1
lets 1
library 1
life 2
liking 1
little 1
living 1
liz 5
love 1
loves 1
lucy 7
madeup 1
making 1
man 1
many 1
meets 1
more 1
moves 1
must 1
named 5
needs 1
notebook 1
novel 1
of 6
on 4
one 2
order 1
overhears 1
own 1
owner 1
parts 1
passes 1
penykettle 1
place 1
prevent 1
rain 1
reader 1
real 1
receive 1
relationship 1
revealed 2
save 1
she 1
shelter 2
short 1
slowly 1
snigger 1
some 1
soon 1
sophie 2
squirrel 2
squirrels 2
stay 2
step 1
story 7
storywriting 1
surprised 1
takes 1
tear 1
telepathic 1
telling 1
tenant 1
than 1
that 5
the 19
them 2
theory 1
this 1
ties 1
time 1
to 8
together 1
two 1
understanding 1
up 1
very 1
visions 1
wayward 1
well 1
what 1
when 2
which 1
who 2
with 6
within 1
woman 1
words 1
would 1
writes 2
writing 1
yearold 1
zookiegadzooks 1
