26788299
/m/0bmh15v
/m/0bmh15v
Rick Yancey
2009
{"/m/03mfnf": "Young adult literature", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
224 1
253 1
328 1
a 42
about 1
accepting 1
accessed 1
acknowledged 1
actions 1
adult 1
adults 1
africa 1
after 5
afterward 1
again 1
againwhitechapel 1
agape 1
ahead 1
aims 1
alistair 1
alive 1
all 4
almost 1
already 1
also 4
altogether 1
am 3
americas 1
among 1
amount 1
an 8
and 91
another 1
answer 1
answering 1
answers 1
anthorpophagi 1
anthropophagi 36
anthropophagus 1
any 1
anyone 1
apart 1
appalling 1
appearing 1
appears 3
approaching 2
are 10
area 4
arm 2
arms 1
around 5
arrive 1
arrives 2
as 18
asking 2
asks 4
assistant 2
at 17
attacks 2
avoid 1
awake 1
away 2
awhile 1
baby 1
back 8
bag 1
bait 1
baltimore 1
bandage 1
banging 1
battle 1
be 8
because 4
becomes 1
bed 2
bedding 1
bedroom 1
bedrooms 1
bedside 1
been 5
before 3
begin 2
begins 1
behind 1
being 4
below 1
belt 1
bending 1
beyond 2
binding 1
bite 1
bitten 1
black 1
blames 1
blood 2
bloody 1
bodies 2
body 7
bones 2
both 2
bottom 1
brain 2
bratton 6
breaking 1
breaks 1
bribes 1
brings 1
brought 2
brushing 1
buried 1
bursts 2
but 10
butt 1
by 9
called 1
calling 1
calls 2
came 2
can 4
cannot 1
cant 1
capable 1
captain 2
carnage 1
carriage 1
carries 1
cart 1
case 1
cast 1
ceiling 1
cemetery 3
chained 1
chance 1
chapter 1
cheerful 1
children 1
chimpanzee 1
choice 1
choked 1
chunks 1
claims 1
climb 1
clock 1
close 1
coast 1
colorless 1
come 4
comes 5
comments 1
common 2
composes 1
confirms 1
confronts 1
considerable 1
constable 1
contents 1
continue 1
continues 2
convinces 1
corpse 1
could 2
country 1
couple 2
covered 1
cow 2
crew 4
crime 3
crying 1
cryptic 1
cub 1
curses 1
damage 1
dawn 1
day 4
dead 3
deal 1
dear 2
death 2
deaths 1
decades 1
decide 1
deck 2
dedham 1
deduces 1
delight 1
deplorable 1
diagnoses 1
dictating 1
did 1
didnt 1
died 1
dies 2
digging 1
direct 1
directs 1
dirt 2
disappears 1
discover 2
discovering 1
discovers 1
discussing 1
disgusted 1
dissects 1
distaste 1
disturbed 1
do 2
doctor 3
doctors 1
does 2
doesnt 1
doing 1
dont 1
door 6
doors 1
down 3
dozens 1
dr 7
dragging 1
draw 1
drawn 1
drunk 1
dust 1
each 2
earlier 2
early 1
eastern 1
eat 2
eaten 1
eats 1
eight 1
eliza 1
embrace 1
ends 1
englishman 1
ensure 2
entryway 1
erasmus 1
escape 1
estimates 2
evading 1
evening 1
eventually 1
every 2
everyone 1
everything 2
everywhere 1
examining 2
except 1
expect 1
experience 1
expert 1
explains 7
eye 2
eyes 2
face 1
faction 1
faints 1
families 1
family 2
father 6
feces 1
female 2
fetus 1
final 1
finally 3
find 4
finds 5
finished 3
fire 1
first 7
fitting 1
five 2
flesh 2
flies 1
floor 2
folio 3
follow 1
for 16
forearms 1
forgive 1
forth 1
foul 2
found 4
fourth 1
frankly 1
frantically 1
friend 1
from 13
front 2
froze 1
frozen 1
full 1
gender 1
get 3
gets 1
girl 4
give 1
gives 1
glass 1
go 5
goat 1
god 1
goes 3
going 1
good 1
grab 1
grabs 5
grave 3
gray 12
grenade 1
grenades 1
ground 2
grow 1
guards 1
gun 3
guns 1
gutters 1
had 4
half 1
hand 5
hands 1
hangs 1
happened 3
happens 1
hard 1
has 11
hat 5
have 8
he 39
headline 1
hear 2
help 2
henry 49
her 14
here 1
hidden 2
hide 1
hill 2
him 21
himself 1
hint 1
his 35
hit 1
holding 2
hole 2
home 4
hoped 1
hopes 1
horse 3
host 1
hour 2
house 5
how 1
however 1
huge 1
human 2
humane 1
hunting 1
i 5
icily 1
idea 1
if 3
ignoring 1
im 1
immoral 1
important 1
in 53
indigenous 1
inestimable 1
infection 2
infestation 1
inform 2
informing 1
inhuman 1
injure 1
injured 1
inside 1
instructed 1
instructs 2
interest 1
interrupted 1
into 5
is 33
it 28
its 3
ive 1
jams 1
jerks 1
jerusalem 1
john 2
joy 1
jump 1
jumped 1
justifies 1
justify 1
juvenile 2
kearn 2
kearns 32
keen 1
keeping 1
key 2
kicking 1
kill 2
killed 1
killer 1
killing 1
kills 1
knew 1
knife 1
knocks 2
knows 1
large 2
largest 1
last 2
lasting 1
later 2
laughing 1
laughter 2
layers 1
leader 2
leading 1
leads 1
leaping 1
learn 1
least 1
leave 1
leaving 1
left 2
legs 1
let 3
lets 1
letter 1
lifeboats 1
like 2
lips 1
listened 1
live 2
lives 2
lock 1
locked 1
long 1
look 1
looking 3
loss 1
lost 1
lower 1
lying 1
maggots 1
main 1
makes 1
making 1
malachi 18
man 1
manages 1
map 3
marked 1
marks 1
master 1
mate 2
matriarch 2
matters 1
mausoleum 1
may 1
me 4
mean 1
meat 1
meet 1
men 5
mentioned 1
mentions 1
middle 2
might 1
mindlessly 1
mine 1
minutes 1
misery 1
missing 3
mistreating 1
moment 2
money 1
monster 2
monsters 3
monstrumologist 1
months 1
mood 1
morality 3
more 7
morgan 17
morning 2
mortal 1
most 1
motionless 1
motley 2
mouth 1
mouths 1
moved 1
moving 1
mr 1
mrs 4
much 2
mud 1
multiple 1
must 3
my 2
mystic 1
name 1
narrowly 1
nearly 1
neglect 2
never 1
new 4
newspaper 1
newspapers 1
next 4
night 5
no 7
not 8
notably 1
notes 1
nothing 2
object 1
obscene 1
observes 1
oclock 1
odds 1
of 55
off 3
old 5
on 14
once 1
one 17
only 5
onto 1
open 1
opens 2
or 4
order 1
other 3
our 1
out 14
outside 1
outstretched 1
over 7
overflowing 1
paid 2
pain 1
papers 1
parents 1
parlor 1
particularly 1
parting 1
pass 1
past 2
path 1
patients 3
pellinore 1
perfectly 1
person 1
pick 1
piece 1
pit 1
place 2
plotted 1
pocket 2
point 1
poison 1
police 1
porthole 1
position 1
possession 1
possible 1
possibly 1
posts 1
poured 1
preeminent 1
prepare 1
procedure 1
proceed 1
prospect 1
protests 1
pull 1
pulled 2
pulls 6
pumped 1
purred 1
pushes 1
put 1
puts 2
questions 1
quickly 1
radiant 1
ran 2
range 1
reader 1
realize 1
realizes 1
really 2
recognize 1
rector 1
rectory 1
redig 1
refused 1
refuses 2
regrettably 1
relationship 1
release 1
reload 1
remembers 1
reported 1
reposed 1
require 1
resides 1
respond 1
responded 1
responds 1
response 1
rest 1
result 1
retorts 1
return 2
returns 3
reveal 1
reveals 2
revolver 1
ride 2
ring 4
ripper 1
rises 1
risk 1
rock 1
rode 1
room 1
rope 1
run 1
running 1
runs 2
sail 1
sanatorium 2
sanctuary 1
save 1
says 2
scene 2
scores 1
screaming 2
screams 1
search 1
searching 1
see 4
seeing 3
seen 1
seize 1
seizes 1
sent 1
sepulchre 1
services 1
setting 2
several 1
shameful 1
she 8
sheets 1
ship 3
shipped 1
shirt 1
shoot 4
shoots 3
shortly 3
shot 1
should 1
shoved 1
show 1
shows 1
side 1
sister 2
sisters 1
sitting 1
six 2
skin 1
slams 1
slaps 1
slaughter 3
slaughtered 1
slaughtering 1
sleeping 1
slept 1
smacks 1
small 2
smell 2
smells 1
smiling 1
so 8
some 1
someone 1
something 2
son 1
sorry 1
sound 2
soundlessly 1
sounds 1
space 1
spare 1
speak 1
spends 1
sphere 1
spooked 1
sport 1
spread 1
sprinting 1
stabbed 1
stabbing 1
stabs 1
stairs 1
stalls 1
stared 1
starlight 1
starr 7
start 1
starts 5
states 1
steadily 2
stiffly 1
still 3
stone 1
stopped 1
stops 1
storm 1
streets 1
strikes 1
strong 1
struggle 1
success 1
such 1
suddenly 4
suffering 1
suggests 3
suited 1
surmising 1
surrounded 1
surrounding 1
survived 1
suspicious 1
swarm 1
swings 1
take 5
takes 2
taking 1
tall 1
tea 1
tearing 1
tease 1
tells 3
ten 1
tend 1
than 1
that 34
the 194
their 8
them 15
themselves 1
then 7
theorizes 1
theory 2
there 6
these 2
they 21
theyre 1
think 1
thinks 1
thirty 2
this 1
those 1
threatens 1
three 5
throat 1
through 5
throw 1
thus 1
time 2
to 89
tomb 1
took 1
top 1
tormenting 1
torn 2
tosses 2
totally 1
toward 1
towards 1
town 2
tramp 1
trap 1
trapdoor 2
trees 4
tries 6
true 1
try 1
tunnel 1
tunnels 2
twelve 1
twenty 1
two 2
under 4
underground 3
understood 1
until 7
unwashed 1
up 12
upon 4
upstairs 1
urine 1
us 1
use 1
using 1
various 2
varner 16
very 3
victim 1
view 1
vigorously 1
visibly 1
visit 1
vomited 1
wait 1
waiting 1
wanders 1
want 1
wanting 1
warmly 1
warren 1
warthrop 63
was 5
way 5
we 2
weeks 1
well 2
were 3
what 6
whatever 1
when 8
where 7
which 5
while 4
whispers 1
who 4
why 4
wife 1
will 54
window 2
windows 1
witching 1
with 16
withered 1
within 1
without 2
woman 11
womb 1
woods 1
words 1
work 2
world 1
worlds 1
would 1
wound 1
wounded 1
wounds 1
wrapped 2
wrists 1
years 1
you 5
young 3
your 2
youve 1
