11978341
/m/02r_gw7
/m/02r_gw7
Kaari Utrio
2000
a 13
abducted 1
acquire 1
adela 2
adventure 1
affair 1
after 4
already 1
also 2
although 1
america 1
amulets 1
an 2
ancestresses 1
and 25
another 3
armenian 1
armenocilician 1
army 1
arnulf 1
arrangements 1
as 1
aure 2
aurelia 3
baby 1
bad 1
badly 1
be 1
beatrix 1
becomes 2
been 1
believed 1
berga 2
between 1
big 2
bishop 2
born 1
both 2
brother 1
but 2
by 3
byzantine 2
calabria 1
calabrian 1
canute 1
carcass 1
chieftain 1
codeword 1
colony 2
come 1
companions 1
conquered 1
constantinople 1
constanzia 6
count 7
countess 2
county 3
crusade 3
crusader 1
current 1
daughter 2
de 1
death 1
decides 2
denmark 1
develops 1
died 1
dies 1
different 1
draws 1
droungarios 1
each 1
earlier 1
eirik 2
embark 1
embarking 1
emigrate 1
encounter 1
end 2
envoys 1
even 1
family 3
fares 1
fate 1
ferro 1
find 1
finland 2
finnish 2
finnobyzantine 1
first 3
flee 1
follows 1
for 2
fortified 1
fortress 1
french 1
from 6
fulberto 1
furni 1
geir 5
general 1
gerakis 1
german 1
germany 2
gero 1
get 3
girl 1
granddaughter 3
greatgranddaughter 1
greatgrandfather 2
greatuncle 1
greekborn 1
guard 1
had 2
hamburg 1
hand 1
has 2
have 2
heir 3
heiress 4
her 6
his 7
hornlike 1
husband 1
if 1
in 16
inge 1
inherited 1
is 9
it 1
italian 1
italy 3
item 1
its 1
iv 1
ivar 3
jarl 1
jerusalem 1
juvalos 2
king 1
knight 1
late 1
leaving 1
leif 1
leo 1
like 1
love 1
lucky 1
luggage 1
made 1
magic 1
magical 1
man 1
maria 3
marriage 2
marries 1
marry 2
martyr 1
masking 1
material 1
maternal 1
meanwhile 1
meeting 1
met 1
missionary 1
montecaldo 3
mountain 1
named 1
narwhal 1
newfoundland 1
noble 1
noblewomen 1
norman 2
norse 1
now 1
of 25
officers 1
old 2
on 1
one 3
only 1
or 1
origins 1
other 2
paid 1
paramours 1
parents 1
pattern 1
people 1
plots 1
portion 1
powers 1
process 1
protected 1
ragvaldson 1
remote 1
rescue 1
restless 1
retinue 2
rival 1
robbers 1
roger 2
roman 1
rome 2
sack 1
scandinavia 1
second 1
seeing 1
sends 1
series 1
service 1
several 1
she 2
sigberta 1
sinetra 4
so 1
some 2
son 3
sons 1
southern 1
spatharokandidatos 1
spent 1
started 1
stepbrother 1
svendsdatter 1
swedish 1
take 1
teenage 1
terhen 2
that 1
the 37
their 5
them 1
then 1
theodora 1
they 8
think 1
this 1
times 1
to 10
together 1
tooth 2
touches 1
towards 1
tower 1
travel 2
troop 2
tusk 2
twins 1
two 1
ulvhild 1
uncle 2
unicorn 1
up 1
usual 1
utrio 1
varangian 2
vaskilintu 1
very 1
viking 1
warfaring 1
were 4
whale 2
when 1
who 4
whose 1
wife 4
will 1
winter 1
with 4
woman 1
years 1
young 5
