2196248
/m/06v43s
/m/06v43s
Dashiell Hammett

a 5
addicted 1
addiction 1
all 1
also 1
and 7
as 2
behind 1
bloodshed 1
but 1
concerning 1
continental 2
continues 1
cult 2
curse 1
dain 2
dains 2
daughter 1
deaths 1
detective 2
diamonds 1
different 1
discovered 1
discovers 1
drugs 1
each 1
edgar 1
escapes 1
events 1
family 2
fianc 1
finally 1
follow 1
francisco 1
from 3
gabrielle 5
he 1
helps 1
her 3
his 1
in 3
inflict 1
investigates 1
involved 1
involves 1
is 6
it 1
known 1
leggett 4
lies 1
marries 1
morphine 1
murder 1
mysteries 1
mysterious 2
novel 1
of 3
on 1
one 1
only 1
op 2
part 3
parts 1
plot 1
protects 1
quesada 1
reason 1
recover 1
religious 1
robberies 1
said 1
san 1
structured 1
sudden 1
supposed 1
surrounding 1
temple 1
that 1
the 14
theft 1
their 1
them 1
those 1
three 2
to 3
two 1
untangles 1
upon 1
vicinity 1
violent 2
web 1
wife 1
young 1
