4595920
/m/0cbr6f
/m/0cbr6f
Anthony Powell
1957
134 2
a 13
according 1
adapted 1
alfred 1
all 1
also 1
ancestral 1
and 8
another 1
anthony 1
aran 1
are 2
army 1
arrive 1
as 2
at 5
autumn 1
becomes 2
bout 1
broken 1
but 1
by 4
chance 1
china 1
chips 1
cinema 1
circumstances 1
colleague 1
company 1
conditions 1
consent 1
cottage 1
country 1
crushing 1
dinner 1
ditching 1
eccentric 1
encounter 1
endure 1
engaged 1
engagement 1
erridge 2
eventful 1
family 1
farcical 1
fendingoff 1
film 1
finishing 1
for 3
from 2
frugal 1
gathering 1
gets 1
goes 2
great 1
has 1
having 1
haycock 3
he 2
head 1
him 1
himself 1
home 2
however 1
husband 1
in 5
inlaws 1
insane 1
invitation 1
invited 1
is 7
isobel 2
it 2
japanese 1
jaundice 1
jeavons 2
jenkins 1
just 1
lady 3
later 1
leads 1
learns 1
loaned 1
lord 1
lovell 1
lunch 1
man 1
marry 1
material 1
meal 1
meeting 1
meets 1
men 1
mildred 2
molly 3
mona 2
most 1
motif 1
mrs 2
mysterious 1
nick 6
nightclub 1
notorious 1
novel 1
of 4
off 1
offensive 1
old 1
operations 1
park 1
part 1
party 1
powell 1
prospective 1
pub 1
published 1
questions 1
quiggin 3
rather 1
reencountered 1
remains 1
script 1
showing 1
sisters 1
society 1
soho 1
some 1
somewhat 2
staying 1
study 1
subsequently 1
success 1
suffering 1
surprising 1
susan 1
ted 1
templer 2
that 1
the 9
them 1
there 2
they 3
throughout 1
thrubworth 1
time 1
to 13
tolland 4
transpires 1
twice 1
two 1
umfraville 1
undaunted 1
undertaking 1
visit 3
wanting 1
warminster 1
weekend 1
when 1
where 1
while 2
widmerpool 6
widowed 1
with 5
without 1
working 1
writer 1
