24600242
/m/09v6g1q
/m/09v6g1q
Patrick Robinson
2009-07-21

1 1
133 1
18 1
2008 2
a 7
account 1
act 3
after 2
allowed 1
amherst 1
an 2
and 8
as 5
at 2
attending 1
august 1
author 1
bank 1
before 1
behavior 1
being 1
believed 1
believes 1
bill 1
bond 1
book 4
brothers 2
bubble 2
burst 1
by 2
ceo 1
characterizes 1
chops 1
clinton 1
company 1
congress 1
contains 1
convertbondcom 2
convertible 1
create 1
critical 1
develop 1
development 1
dick 1
dotcom 1
during 1
engage 1
exam 1
expertise 1
falsely 1
for 1
former 1
from 1
fuld 4
general 1
glasssteagall 1
godlike 1
government 2
grammleachbliley 1
have 1
having 1
he 1
henry 2
highly 1
him 2
himself 1
his 1
how 1
in 3
internet 1
is 1
it 2
job 1
korea 1
late 1
later 1
leader 1
led 1
lehman 2
majesty 1
market 1
massachusetts 1
material 1
mcdonald 3
meeting 1
morgan 3
of 9
offer 1
offered 1
on 1
out 1
pass 1
paulson 2
penchant 1
per 1
pork 1
portions 1
president 1
purchased 1
rage 1
refers 1
reject 1
repealed 1
representative 1
required 1
richard 2
risky 1
ruthless 1
sarcastically 1
save 1
saved 1
securities 1
selfteaching 1
sell 1
selling 1
share 1
short 1
should 1
signed 1
smug 1
spiritual 1
spring 1
stanley 3
stated 1
states 3
successfully 1
temper 1
that 5
the 20
to 6
touch 1
united 3
university 1
unnecessarily 1
vicepresident 1
was 5
website 2
went 1
what 1
which 2
while 1
with 2
working 1
would 1
