11718348
/m/02rp_fp
/m/02rp_fp
Jack Vance
1983
{"/m/06qk2l": "Dying Earth subgenre", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
174 1
35 1
a 7
abandon 1
aboard 1
adventures 1
aid 1
almery 1
along 1
ambiguously 1
an 2
and 7
appealing 1
as 6
at 1
author 1
avenge 1
banishment 1
barren 1
beach 1
been 1
before 1
being 1
book 1
but 1
by 3
character 1
clever 1
collection 1
comely 1
crewmember 1
cugel 7
currently 1
daughters 1
deadly 1
defeat 1
different 1
disconsolately 1
dying 1
earlier 1
earth 1
edition 1
editor 1
encompasses 1
end 1
eyes 3
far 1
females 1
for 3
forced 1
form 1
friends 1
goal 1
had 1
has 1
he 2
himself 1
his 3
home 1
homeland 1
huge 1
in 5
included 1
indirectly 1
integral 1
is 6
it 1
its 4
iucounu 2
laughing 1
left 1
like 1
magician 1
maintenance 1
marine 1
merchant 1
michael 1
new 1
north 1
obtains 1
of 12
omnibus 1
on 1
original 1
other 1
out 1
outwitted 1
overworld 3
owner 2
picaresque 1
picks 1
predecessor 1
print 1
protagonist 1
published 1
quest 1
regards 1
relic 1
remains 1
responsible 2
retitled 1
return 1
route 1
sadlark 1
second 1
sequel 1
service 1
setbacks 1
shea 1
ship 2
simbilis 1
sitting 1
skybreak 1
some 1
spatterlight 1
steals 1
story 2
structure 1
takes 1
taking 1
tales 1
the 22
this 1
three 1
time 1
to 3
until 1
up 1
upon 1
vance 1
various 1
volume 1
was 1
where 1
which 1
whom 1
wife 2
with 3
worminger 1
wormpropelled 1
worms 1
