358057
/m/01_3gm
/m/01_3gm
David Gerrold
1972
a 2
acronym 1
adulthood 1
against 1
also 3
an 2
analog 2
and 1
another 1
around 1
artificial 1
auberson 1
be 1
being 1
by 1
central 1
childhood 1
computer 2
contains 1
david 1
describe 1
engine 1
equivalents 1
fictional 1
fight 1
first 2
for 3
from 1
guiding 1
harlie 7
his 1
human 4
infects 1
input 1
intelligence 2
into 1
is 5
it 3
lethetic 1
life 1
matter 1
means 1
name 1
named 1
not 1
of 3
off 1
one 1
or 1
originally 1
philosophical 1
program 1
proper 1
psychologist 1
question 1
referred 1
relationship 1
replication 1
representation 1
responsible 1
revolves 1
robot 1
story 3
term 1
that 2
the 8
to 4
turned 1
use 1
virus 2
was 1
what 1
when 1
whether 1
who 1
with 1
