848524
/m/03gvhm
/m/03gvhm
Richard Condon
1974-05
a 5
about 1
act 1
and 3
appointing 1
as 2
asking 1
at 1
attempts 1
been 2
before 1
begins 1
book 2
camonte 1
character 1
claiming 1
commission 1
condemns 1
condon 1
confession 1
connections 1
conspiracy 2
could 1
court 1
crime 1
cuba 1
deathbed 1
describes 1
diamond 1
domestic 1
encounters 1
ending 1
ensuing 1
even 1
fatherfigure 1
fictional 1
final 1
find 1
fixer 1
from 1
groups 1
gunman 1
halfbrother 1
have 2
he 1
her 1
his 1
hit 1
hostess 1
hunt 1
in 3
intertwined 1
is 4
jack 1
james 1
joe 1
joseph 1
kegan 3
kennedylike 1
killer 1
later 1
led 1
lobbyist 1
lola 1
lone 1
mafia 1
main 1
man 1
meets 1
member 1
nick 2
novel 1
numerous 2
of 9
one 1
only 1
or 1
organized 1
p 1
part 2
person 1
persons 1
perverse 1
philadelphia 1
plaza 1
plotters 1
police 1
possible 1
president 2
presidential 1
protagonist 1
recounts 1
representation 1
revealed 1
ruby 1
she 1
shot 1
squad 1
st 1
starts 1
story 2
that 1
the 19
threads 1
timothy 1
to 3
truth 1
twist 1
us 1
vicious 1
when 1
which 1
with 2
witnesses 1
years 1
