17361988
/m/043q5j6
/m/043q5j6

1990-04-15
{"/m/05h83": "Non-fiction"}
a 6
acquisition 1
an 2
and 4
as 1
astound 1
becoming 1
believed 1
blackandwhite 1
bloch 1
book 1
boxoffice 1
budgeted 1
by 3
casting 1
catch 1
classic 1
compete 1
cultural 1
daytoday 1
departure 1
different 1
director 1
disorienting 1
editing 1
elegant 1
experiment 1
film 1
filming 1
films 2
financially 1
forerunner 1
from 2
had 1
his 1
hitchcock 3
horror 1
in 1
including 1
international 1
into 1
knew 1
lives 1
lowbudget 1
made 1
making 1
man 1
many 1
modestly 1
moviemakers 1
movies 1
much 1
north 1
northwest 1
novel 1
of 4
on 1
original 1
part 1
project 1
promotion 1
radical 1
readers 1
realevents 1
rear 1
represented 1
reputation 1
robert 1
rope 1
scoring 1
screenwriters 1
shocker 1
sixties 1
success 1
successful 1
suspenseful 1
tackled 1
takes 1
that 2
the 8
they 1
thief 1
to 4
too 1
turbulent 1
two 1
violent 1
watershed 1
went 1
were 1
who 2
window 1
with 2
work 1
youthoriented 1
