19191006
/m/04ljny3
/m/04ljny3
Enid Blyton
1953
{"/m/02n4kr": "Mystery", "/m/08sdrw": "Adventure novel"}
a 5
about 5
across 2
and 6
anne 2
are 1
at 1
become 1
begins 1
being 1
blacksmith 1
boy 1
but 1
by 1
called 2
camp 1
captain 1
children 2
come 1
curious 1
danger 1
day 1
decide 2
dick 1
famous 1
five 1
follow 2
four 2
fun 1
george 3
girl 1
hear 2
henrietta 1
her 1
holiday 1
in 1
is 2
it 1
johnson 1
julian 1
lead 1
likes 1
meet 1
meets 1
mists 1
moor 4
moorbut 1
mysterious 1
mystery 3
on 1
one 1
riding 2
risk 1
school 2
she 1
similar 1
something 1
spending 1
stables 1
story 1
tells 1
that 1
the 11
their 1
them 1
themselves 1
there 2
to 6
trail 1
travellers 4
treacherous 1
very 1
when 1
who 2
will 1
