17584202
/m/02rbvd6
/m/02rbvd6
Ann Rinaldi
1999-10
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
1th 1
a 3
affair 1
against 1
an 1
and 7
as 3
backdrop 1
between 2
both 1
brewing 1
bystander 1
century 1
choose 1
civil 1
clan 1
code 1
coffin 1
county 1
cycle 1
despite 1
disappearing 1
disapproves 1
dissenter 1
dubious 1
end 1
erupts 1
escalates 1
escape 1
estranged 1
evolves 1
eyes 1
families 2
family 2
fanny 5
fannys 1
female 1
fervent 1
feud 2
follows 1
from 3
fueling 1
future 1
girl 1
hands 1
has 1
hatfield 2
hatfieldmccoy 1
hatred 2
help 1
her 8
honor 1
illustrates 1
in 5
innocent 1
into 2
johnse 1
judicious 1
kentucky 1
late 1
law 1
learns 1
lover 1
loyalty 2
mccoy 1
mccoys 1
member 1
members 1
midnight 1
mountains 1
must 1
mysterious 1
nest 1
of 10
overcome 1
own 1
pacts 1
petty 1
plaguing 1
pregnant 1
preserve 1
protagonist 1
purtiest 1
quickly 1
quilt 2
raids 1
rinaldi 2
roseanna 3
secrets 1
set 1
sews 1
sister 3
slow 1
so 1
story 1
struggles 1
superstition 1
take 1
tells 1
the 25
their 1
thing 1
through 2
to 6
tug 2
understand 1
valley 2
violence 2
virginia 1
war 1
west 1
when 1
with 2
yeller 1
young 1
