4569197
/m/0c9cnb
/m/0c9cnb
Steven Brust
1987-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 4
abandons 1
about 1
accusations 1
accuses 1
adrilankha 4
after 6
against 1
aggressive 1
agrees 1
ahead 1
alarmed 1
all 4
allow 1
altercation 1
amidst 1
an 3
and 16
another 1
appears 1
are 2
as 2
assassin 6
assassination 1
at 1
attacked 1
attempt 1
awakening 1
away 1
back 1
barricade 1
becomes 4
been 1
before 2
begins 1
better 1
between 2
bodyguards 1
boss 1
break 1
breaks 1
brush 1
businesses 1
but 8
buy 1
by 5
called 1
can 2
captured 1
casing 1
cawti 9
changing 1
chaos 1
closely 1
committed 1
concocts 1
conflicts 1
consisting 1
conversing 1
convinces 1
cycle 1
dangers 1
day 2
debate 1
decides 2
deciding 1
desire 1
destroy 1
disables 1
disappears 1
discover 1
distraught 1
do 1
down 1
draw 1
drugs 1
during 1
easterners 1
embrace 1
end 1
ending 1
entering 1
epiphany 1
ethical 1
events 2
failing 1
fearing 1
feels 1
feud 1
fights 1
followers 2
for 3
fortune 2
franz 2
from 4
gets 1
getting 1
ghetto 1
ghost 2
gone 1
group 1
guard 2
guards 2
harm 1
has 4
he 11
headquarters 4
helplessness 1
her 1
herth 13
him 5
himself 2
hires 1
his 15
holdings 1
hopes 1
how 1
ideals 1
identifies 1
impossible 1
in 4
incident 1
including 1
individuals 1
information 2
into 3
investigate 1
investigation 1
involved 1
is 4
ishtvan 2
issues 1
itself 1
jarred 1
jhereg 2
job 1
joined 1
judgment 1
kelly 10
kill 5
killing 1
kills 1
leader 1
learns 1
lets 1
lifestyle 1
lifestyles 1
live 1
looking 1
loom 1
made 1
many 1
marriage 1
matter 1
members 1
men 2
miraculously 1
mirror 1
most 1
murdered 1
named 1
news 1
next 2
not 1
of 14
off 1
offers 1
on 1
once 1
one 1
ongoing 1
only 2
order 1
ordered 1
organization 1
out 1
over 2
own 2
paresh 1
parroting 1
phoenix 3
plan 2
plans 1
pressing 1
problems 2
pull 1
put 1
quaysh 2
reaffirms 1
recklessly 1
relationship 1
relieved 1
remainder 1
remains 1
rescue 1
resolves 1
respective 1
restore 1
retires 1
returns 1
revolt 1
revolution 1
revolutionists 10
safety 1
save 2
saving 1
selfdestruction 1
selfdoubts 1
sent 1
several 1
slogans 1
sneaks 1
solve 2
some 1
sorcerer 1
south 4
start 1
still 2
stories 1
strained 1
strikes 1
suicidal 1
suspects 1
takes 1
target 1
tearfully 1
teckla 2
teleports 1
tell 1
temporarily 1
that 6
the 39
their 3
them 2
they 2
though 1
thus 1
to 21
topranking 1
torture 1
total 1
tricks 1
troubled 1
unafraid 1
unfold 1
unmoved 1
unnerved 1
unresolved 1
until 1
up 1
using 1
values 1
vlad 27
watch 1
way 1
what 1
which 1
while 2
wife 1
winds 1
with 6
would 3
