12947177
/m/02z0_y_
/m/02z0_y_
Michael Connelly
2005-05-16
{"/m/02xlf": "Fiction"}
16yearold 1
188 1
a 9
after 1
alcoholismmdashand 1
all 1
along 2
and 6
as 1
assigned 1
astonishing 1
back 2
because 1
belongs 1
biracial 1
blood 3
bosch 4
but 1
by 1
case 1
cases 1
cold 1
connect 1
connelly 1
conspiracy 1
cover 1
crime 4
deeper 1
destroyed 1
detective 1
developments 1
dna 1
drives 1
especially 1
explore 2
fact 1
family 1
familymdashleaving 1
father 1
first 1
force 2
former 1
found 1
girl 2
give 1
group 1
gun 2
had 1
harry 2
has 1
high 1
him 2
homelessness 1
how 3
in 4
indicates 1
initial 1
into 2
investigation 1
involves 1
irvin 1
irving 1
is 1
it 2
kiz 1
kizmin 1
lapd 1
leads 1
life 1
links 2
local 1
longago 1
lowlife 1
mackey 3
match 1
meticulously 1
moral 1
most 1
mother 1
murder 2
nemesis 1
neonazi 1
nightmare 1
novel 1
of 9
officer 1
on 3
only 1
openunsolved 1
orchestrated 1
own 1
pair 1
partner 1
past 1
pin 1
plunging 1
police 1
possession 1
purposes 1
ranking 1
reader 1
rebecca 1
reopened 1
retirement 1
rider 3
ripples 1
roland 1
school 1
so 1
son 1
striking 1
supremacist 1
teamed 1
that 3
the 24
their 1
they 1
this 1
threeyear 1
ties 1
to 9
trapped 1
understanding 1
unit 1
up 1
verloren 1
via 1
victim 1
way 1
weapon 1
white 1
with 3
young 1
