11915160
/m/02rxvd4
/m/02rxvd4
A. P. Herbert
1919
{"/m/098tmk": "War novel"}
114 1
116 1
117 1
a 18
about 1
acts 1
advanced 1
after 4
again 1
all 1
always 1
am 1
an 5
and 16
another 1
any 2
anything 3
arras 1
arrest 2
arrives 1
as 3
asserts 1
at 3
attack 1
avoid 1
back 1
battalion 1
be 1
because 1
been 5
begins 1
being 1
believe 2
best 1
better 1
bit 1
book 1
bravest 1
break 1
but 6
by 8
can 1
cannot 1
career 1
charge 3
charges 1
circumstances 1
clear 1
close 1
colonel 3
comes 1
commanding 1
commission 1
company 1
completing 1
convicted 1
could 1
court 1
courtmartialled 1
cover 1
cowardice 2
cracking 1
creeping 1
death 2
decided 1
degrees 1
demoralized 1
detailed 1
did 1
didnt 1
difficult 1
discovering 1
discovers 1
ditches 1
do 5
doggedly 1
done 2
down 4
dreams 1
dugout 1
dutiful 1
each 1
early 1
earns 1
educated 2
else 2
enemy 1
enlisted 1
ever 1
face 2
faces 1
facts 1
failed 1
fall 1
february 1
find 1
follows 1
for 7
france 1
friend 3
from 5
front 1
full 1
further 1
gist 1
glowing 1
go 1
going 1
gone 1
grows 1
guilty 1
had 7
halt 1
hardly 1
harry 4
has 2
have 3
he 16
heroism 1
him 4
himself 2
his 13
history 1
home 1
honestly 1
hour 1
however 1
i 10
id 1
if 1
ignored 1
immediately 1
in 15
incident 1
injury 1
intelligence 1
invalided 1
irascible 1
is 18
it 10
job 1
justice 2
keep 1
killed 1
knew 1
know 1
knowing 1
last 2
later 2
leading 1
learns 1
letter 1
light 1
like 2
line 1
live 1
london 1
long 1
lost 1
make 1
makes 1
man 1
master 1
may 1
meet 1
men 2
mercy 1
military 1
minute 1
modest 1
moment 1
months 1
morning 1
most 1
move 1
much 1
my 2
narrator 4
nerve 1
never 1
night 1
not 5
novel 1
november 1
occupied 1
of 17
offered 1
officer 6
on 9
once 1
one 2
only 1
or 1
ordered 1
out 1
over 1
own 1
oxford 1
parties 1
party 4
patrol 1
penalty 2
penrose 12
people 1
period 1
person 1
personality 1
piles 1
pleading 1
post 1
presented 1
prevailed 1
promptly 1
properly 1
ranks 1
ration 1
real 1
reassigned 1
recommendation 1
regroup 1
regular 1
relatives 1
remarking 2
reports 1
resolves 1
return 2
returning 1
risky 1
road 2
run 1
running 1
safe 1
said 1
scouting 1
second 1
seeing 1
seen 1
selfdoubt 1
senior 1
sense 1
sensitive 1
shellfire 2
shelling 2
sheltering 1
shot 3
six 2
slowly 1
so 1
some 3
somme 1
spirit 1
strictly 1
submits 1
succeeded 1
support 1
system 1
take 1
takes 1
taking 1
that 10
the 37
them 1
then 1
these 2
they 3
things 1
think 3
this 2
though 1
throughout 1
time 2
to 23
toll 1
training 1
transpired 1
treatment 1
trial 1
tried 1
tries 1
trivial 1
try 1
ultimately 1
under 3
until 1
up 1
upon 1
viewpoint 1
volunteers 1
wait 1
wangle 1
want 1
wanted 1
war 1
was 3
week 1
weeks 1
when 2
whilst 1
who 2
winter 1
with 2
within 2
without 1
word 1
work 1
working 1
worn 1
wounded 1
wrath 1
write 1
written 1
year 1
youd 1
young 2
