31312585
/m/0gjc7b7
/m/0gjc7b7
Thrity Umrigar
2006-01
{"/m/02xlf": "Fiction"}
a 5
abandoned 1
abortion 1
about 1
abusive 1
accident 1
accuses 1
actions 1
admired 1
after 1
age 1
ago 1
aids 1
alcoholic 1
also 2
amit 1
an 3
and 9
angered 1
at 1
balloon 1
balloons 1
became 1
between 1
bhima 8
but 1
buys 1
by 1
cared 1
caused 1
centers 1
college 1
confronts 1
continue 1
could 2
cupboard 1
daughter 2
deal 1
death 1
died 1
dinaz 2
disabled 1
dismisses 1
domestic 1
dubash 1
education 1
family 1
fingers 1
flashbacks 1
for 3
from 2
goes 1
granddaughter 1
had 2
has 1
he 1
her 16
him 2
hints 1
husband 4
illiterate 1
impregnated 1
in 2
india 1
insisted 1
is 1
isolating 1
it 1
job 1
keep 2
later 2
leaves 1
leaving 1
listen 1
lives 1
lose 1
married 1
maya 5
menstruating 1
more 1
motherinlaw 1
mumbai 1
now 1
of 6
old 1
on 2
orphan 1
paid 1
parsi 1
pays 1
physically 1
place 1
pooja 1
pregnant 2
presentday 1
recalling 1
reluctantly 1
remembers 2
resolves 1
seaside 1
secret 1
seller 1
sera 6
serabai 1
servant 1
seventeenyearold 1
she 4
since 1
sixtyfive 1
slums 1
so 1
son 1
space 1
stealing 1
sudden 1
takes 1
taking 1
tells 1
tends 1
than 1
that 2
the 7
their 1
three 2
through 1
to 7
together 1
told 1
tomorrow 1
towards 1
tuition 1
twenty 1
two 1
unable 1
unwed 1
uppermiddleclass 1
us 1
viraf 3
was 1
when 1
while 1
who 3
whom 1
whose 1
widow 1
with 4
women 1
workrelated 1
worth 1
years 3
young 1
