1919166
/m/0662pn
/m/0662pn
Charles Bukowski
1982-09-01
a 3
abusive 1
acne 1
adulthood 1
all 1
an 1
and 7
are 2
around 1
as 3
at 2
attempt 1
attention 1
bad 1
baseball 1
be 1
been 1
better 1
boys 1
but 3
centers 1
chinaski 1
college 1
comes 1
develops 1
doctor 1
elementary 1
enough 1
even 1
eventually 1
ever 1
experiences 1
father 2
first 1
fits 1
focus 1
follow 2
football 1
for 1
from 1
get 2
girls 1
go 1
going 1
good 1
grammar 1
happen 1
hard 3
hardly 1
has 3
he 11
henry 3
high 1
him 3
his 4
hits 2
horrible 1
however 1
in 2
into 3
is 4
isnt 1
it 3
job 1
learn 1
less 1
lets 1
likes 1
makes 1
memories 1
mother 1
novel 3
of 2
on 1
other 2
painful 1
playground 1
pretends 1
private 1
progress 1
progresses 1
protagonist 1
rich 1
school 5
sport 2
sports 2
start 2
tells 1
that 4
the 12
then 3
they 1
through 1
to 5
treatments 1
tries 1
us 1
very 1
violence 2
wants 1
way 1
we 5
where 1
who 1
with 1
