17205642
/m/043qqq2
/m/043qqq2
Bernard Cornwell
2008-10-01
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 18
accepts 1
advance 2
advice 1
affected 1
after 3
against 1
agincourt 1
agree 1
alive 1
allow 1
along 1
also 1
an 6
and 40
anticipated 1
anyway 1
approves 1
archer 3
archers 5
are 5
armies 1
armour 1
army 5
arrows 1
as 9
asks 1
at 2
attack 5
attacks 1
attempt 1
attempts 1
back 2
bastard 1
battle 4
be 2
becomes 1
before 1
begin 1
behind 1
being 1
believes 1
believing 1
biological 1
bitter 1
blocks 1
bolt 2
both 2
brother 1
burgundy 2
burning 1
but 3
by 7
calais 2
called 1
campaign 1
captivity 1
capture 2
care 1
cavalry 1
child 2
christopher 1
citizens 1
claim 1
claiming 1
claims 1
coast 1
combat 1
combination 1
comforts 1
command 1
community 1
companion 1
compelled 1
conceal 1
condemned 1
conflict 1
conspired 1
cornewaille 2
cornwaille 2
couldnt 1
crcy 1
crime 1
crispin 2
crispinian 2
cross 1
crossbow 2
crown 1
daughter 1
day 2
de 4
dead 1
deadly 1
decides 2
decimates 1
decline 1
deeply 1
demonstration 1
difficult 1
disapproves 1
discovers 1
disease 1
distinctive 1
does 1
down 1
driven 1
during 4
earns 1
easily 1
either 1
end 1
england 1
english 12
escape 1
escapes 1
especially 1
europe 1
every 1
execution 1
expedition 1
eye 1
failed 1
failing 1
famous 1
far 1
father 6
feud 2
feuds 1
first 1
foolishly 1
for 9
fords 1
forester 1
formally 1
forming 1
frames 1
france 4
french 14
friend 1
from 4
full 1
ghillebert 1
girl 3
going 1
gone 1
good 1
granddaughter 1
ground 1
guided 1
guilt 1
guise 1
had 1
hammer 1
handtohand 1
hanging 1
hangs 1
harfleur 1
haunts 1
he 7
held 1
hell 1
henry 7
her 3
heretics 1
him 1
himself 3
his 13
hook 28
hopes 1
horrendously 1
horses 1
house 1
illegitimate 1
impaled 1
impenetrable 1
in 11
including 1
indeed 2
innocent 1
insult 1
into 2
is 10
it 2
john 4
joins 1
kill 3
killed 1
killing 1
kills 3
king 5
knight 1
knights 1
land 1
lanferelle 6
larger 1
later 2
launch 2
leaving 1
like 1
local 1
lollard 1
longbows 1
lord 4
lords 2
lover 1
loyal 1
man 5
manages 1
many 2
march 2
married 1
martin 5
mayhem 1
meet 1
meets 1
melisande 8
men 1
mentor 1
mercenary 1
michael 4
morass 1
murder 1
must 1
narrow 1
natural 1
new 1
newly 1
nicholas 1
noticing 1
now 2
nun 1
nunnery 1
obstacles 1
of 22
on 3
one 1
opposing 1
opposite 1
or 1
ordered 1
over 1
own 1
pallaire 1
participate 1
patron 1
pays 1
perrill 8
place 1
plate 1
ploughed 1
port 1
portrayed 1
powerful 1
pray 1
prayers 1
priest 3
prisoner 3
prisoners 1
promoted 1
protect 1
public 1
pyx 1
ragged 1
rain 1
range 1
ransom 1
rape 3
reach 1
realises 1
reignites 1
relationship 1
religious 2
remaining 1
repel 2
reporting 1
retire 1
return 1
returning 1
returns 2
rival 1
river 1
robert 2
roger 1
royal 1
sack 1
sacrificed 1
saints 2
save 3
say 1
scar 1
second 1
seems 1
seigneur 4
serving 1
sharpened 1
she 1
shield 1
shocks 1
side 1
sides 1
siege 2
sinner 1
sir 2
skill 1
slope 1
soaks 1
soissons 3
sometime 1
somme 1
sovereignty 1
speaks 1
spikes 1
st 1
stakes 2
starts 1
stead 1
stealing 1
step 1
story 1
surprising 1
swan 3
take 1
takes 3
tells 2
terror 1
that 5
the 81
their 4
them 1
then 2
there 1
they 2
third 1
this 1
thousands 1
through 2
throughout 1
thrusting 1
to 28
tom 5
too 1
torrential 1
torture 1
toward 1
towards 1
town 2
treacherous 1
treachery 1
trial 1
turning 1
two 1
under 2
unsuccessful 1
until 1
upon 1
using 1
v 1
valuable 1
vassal 1
via 1
victory 1
voices 1
volleys 1
vowed 1
vows 1
wall 1
wealthy 1
weeks 1
well 2
which 2
who 4
will 2
win 2
with 9
within 1
wouldnt 1
