4910915
/m/0ctsx4
/m/0ctsx4
Dean Koontz
1993
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
7 1
a 19
abandoned 1
about 1
after 4
again 1
alfie 4
ambush 1
an 5
and 34
angry 1
anonymous 1
arrive 1
arrived 1
as 3
assassin 1
ate 1
attacked 1
attracted 1
authorities 1
away 3
back 1
bar 1
be 3
became 1
because 1
bed 1
been 2
before 2
being 1
believe 1
bestselling 1
book 1
break 1
breaks 1
bring 1
brought 1
but 5
by 3
cabin 2
calmed 1
came 1
cant 1
car 1
charlotte 1
chest 1
church 1
clerk 1
clocker 1
clone 1
clothes 1
comes 4
company 1
computer 3
considerably 1
consoled 1
contact 1
couple 1
cyrus 1
daughters 2
day 2
decided 1
decides 1
destroys 1
detective 1
device 1
didnt 1
dirty 1
discussing 1
doctor 2
doesnt 1
down 2
drew 3
emily 1
ending 1
enough 1
enter 1
escaped 1
evidence 2
exactly 2
father 1
felt 1
few 1
fight 1
finally 1
find 1
fled 3
food 2
for 4
force 1
found 3
from 2
fugues 1
gas 1
get 2
gets 2
girls 2
goes 3
going 1
got 1
had 5
has 1
he 37
help 1
her 2
here 1
hid 1
him 6
himself 1
his 10
home 3
hotel 1
house 3
hurt 1
husband 1
i 2
identities 1
impostor 1
impredictably 1
in 5
interrogates 1
intervening 1
into 2
is 4
it 1
itenary 1
job 2
just 1
karl 3
kids 1
killed 3
killer 5
kills 2
lakes 1
leave 1
leaves 1
leaving 1
left 1
like 4
look 1
looked 1
looks 1
lowbock 1
magazine 1
magnet 1
mails 1
mammoth 1
marty 15
mcdonald 1
meanwhile 2
memory 1
might 1
minutes 1
misplaced 1
money 1
months 1
motel 1
murdered 1
murdersuicide 1
mystery 1
name 1
need 2
needed 1
neighbour 2
new 2
night 1
notices 1
occurring 1
of 5
old 1
on 1
one 3
oslett 1
other 6
out 3
over 1
paige 3
people 2
picture 2
pictures 1
plots 1
police 1
proceeded 1
prostitute 1
provides 1
put 1
quite 1
ran 1
realized 1
recording 1
referred 1
repeatedly 1
rescues 1
residence 1
restless 1
roaming 1
rock 1
said 1
save 1
saw 2
saying 4
see 3
sees 2
sends 2
seniors 1
set 2
several 1
shoots 1
shot 1
since 1
six 1
slept 1
smashed 1
so 4
some 1
soon 2
starts 1
station 1
staying 1
stillwater 2
stillwaters 4
story 2
streets 1
stress 1
suddenly 1
taken 1
targets 1
tense 1
terminated 1
than 1
that 5
the 39
their 1
them 3
then 8
there 1
they 6
things 1
this 1
though 1
thought 2
through 1
throughout 1
thus 1
to 28
topeka 1
towards 1
track 1
tracking 1
twice 1
two 2
under 1
understand 1
up 1
upset 1
wants 1
was 11
wasnt 1
way 1
went 8
were 2
what 1
when 7
where 1
who 3
whole 1
whom 1
wife 2
with 3
women 1
write 1
writer 1
