839270
/m/03fxfl
/m/03fxfl
Henry James
1904-11-10
a 6
about 1
accepts 1
adam 3
adulterous 1
affair 2
afraid 1
after 3
also 1
although 1
america 1
american 3
amerigo 9
an 3
and 16
another 1
antique 1
any 1
appears 1
are 1
art 1
as 3
assingham 1
at 1
because 1
become 1
been 2
begins 2
bowl 2
but 3
buys 1
by 1
campaign 1
can 1
change 1
charged 1
charismatic 1
charlotte 11
child 1
childhood 1
close 1
collector 1
concealing 1
confesses 1
confronts 1
consummate 1
contains 1
conversation 1
crystal 1
curiosity 1
days 1
dear 1
declines 1
delicate 1
denying 1
depart 1
did 1
diplomacy 1
doesnt 1
drawing 1
embraces 1
ends 1
eve 1
fabulously 1
father 3
fatherdaughter 1
finally 1
financier 1
find 1
flaw 1
for 5
former 1
friends 1
friendship 1
from 2
gilded 1
go 2
golden 1
gradually 1
had 3
happens 1
has 1
have 1
he 7
her 8
hidden 1
high 1
him 2
his 4
home 1
immature 1
impoverished 1
impressed 1
in 6
interested 1
intimate 1
is 4
it 2
italian 2
know 1
knowledge 1
language 1
london 1
lonely 1
maggie 11
marriage 3
marriages 1
marry 1
met 1
mistress 1
more 1
mrs 1
naive 1
never 1
nobleman 1
not 2
nothing 1
novel 1
of 5
offers 1
on 1
one 1
only 1
overcharging 1
pair 2
past 1
persuades 2
photographs 1
present 1
previously 1
price 1
prince 2
proposal 1
propose 1
purchase 1
rather 1
reason 1
reencounters 1
regarding 1
regretting 1
rejected 1
relationship 2
respective 1
return 1
revealing 1
rome 1
room 1
same 1
says 1
secret 1
see 1
seem 1
sees 1
separate 1
she 6
shop 3
shopkeeper 2
shopping 2
since 1
soon 1
spoken 1
spouses 1
stant 1
states 1
suspect 1
suspects 1
tells 1
than 1
that 1
the 14
their 7
them 1
there 1
they 6
thrown 1
to 14
together 2
trip 1
understands 1
united 1
verver 3
visits 1
wealthy 2
wedding 2
where 1
which 1
while 2
who 1
widower 1
wife 1
with 2
years 1
young 1
